PartNumber	NominalSize	NominalSize2	OutsideHeight (in)	OutsideWidth (in)	OutsideWidth2 (in)	InsideHeight (in)	InsideWidth (in)	InsideWidth2 (in)	RailFlangeThickness (in)	RailFlangeWidth (in)	RailWallThickness (in)	RungHeight (in)	RungLength (in)	FloorSectionSpacing (in)	Radius (in)	TangentLength (in)	Series
B36AL-18-30-HT12	B36-18in	B36-30in	6.17	19.45	31.45	5.06	18	30	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-18-36-HT12	B36-18in	B36-36in	6.17	19.45	37.45	5.06	18	36	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-18-42-HT12	B36-18in	B36-42in	6.17	19.45	43.45	5.06	18	42	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-24-06-HT12	B36-24in	B36-06in	6.17	25.45	7.45	5.06	24	6	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-24-09-HT12	B36-24in	B36-09in	6.17	25.45	10.45	5.06	24	9	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-24-12-HT12	B36-24in	B36-12in	6.17	25.45	13.45	5.06	24	12	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-24-18-HT12	B36-24in	B36-18in	6.17	25.45	19.45	5.06	24	18	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-24-30-HT12	B36-24in	B36-30in	6.17	25.45	31.45	5.06	24	30	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-24-36-HT12	B36-24in	B36-36in	6.17	25.45	37.45	5.06	24	36	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-24-42-HT12	B36-24in	B36-42in	6.17	25.45	43.45	5.06	24	42	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-30-06-HT12	B36-30in	B36-06in	6.17	31.45	7.45	5.06	30	6	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-30-09-HT12	B36-30in	B36-09in	6.17	31.45	10.45	5.06	30	9	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-30-12-HT12	B36-30in	B36-12in	6.17	31.45	13.45	5.06	30	12	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-30-18-HT12	B36-30in	B36-18in	6.17	31.45	19.45	5.06	30	18	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-30-24-HT12	B36-30in	B36-24in	6.17	31.45	25.45	5.06	30	24	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-30-36-HT12	B36-30in	B36-36in	6.17	31.45	37.45	5.06	30	36	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-30-42-HT12	B36-30in	B36-42in	6.17	31.45	43.45	5.06	30	42	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-36-06-HT12	B36-36in	B36-06in	6.17	37.45	7.45	5.06	36	6	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-36-09-HT12	B36-36in	B36-09in	6.17	37.45	10.45	5.06	36	9	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-36-12-HT12	B36-36in	B36-12in	6.17	37.45	13.45	5.06	36	12	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-36-18-HT12	B36-36in	B36-18in	6.17	37.45	19.45	5.06	36	18	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-36-24-HT12	B36-36in	B36-24in	6.17	37.45	25.45	5.06	36	24	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-36-30-HT12	B36-36in	B36-30in	6.17	37.45	31.45	5.06	36	30	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-36-42-HT12	B36-36in	B36-42in	6.17	37.45	43.45	5.06	36	42	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-42-06-HT12	B36-42in	B36-06in	6.17	43.45	7.45	5.06	42	6	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-42-09-HT12	B36-42in	B36-09in	6.17	43.45	10.45	5.06	42	9	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-42-12-HT12	B36-42in	B36-12in	6.17	43.45	13.45	5.06	42	12	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-42-18-HT12	B36-42in	B36-18in	6.17	43.45	19.45	5.06	42	18	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-42-24-HT12	B36-42in	B36-24in	6.17	43.45	25.45	5.06	42	24	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-42-30-HT12	B36-42in	B36-30in	6.17	43.45	31.45	5.06	42	30	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B36AL-42-36-HT12	B36-42in	B36-36in	6.17	43.45	37.45	5.06	42	36	0.11	2	0.075	1	1	9	12	3	B Series 36  Aluminum 6in rails
B37AL-06-HT12	B37-06in	B37-06in	7.14	7.5	7.5	6.05	6	6	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-09-HT12	B37-09in	B37-09in	7.14	10.5	10.5	6.05	9	9	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-12-HT12	B37-12in	B37-12in	7.14	13.5	13.5	6.05	12	12	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-18-HT12	B37-18in	B37-18in	7.14	19.5	19.5	6.05	18	18	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-24-HT12	B37-24in	B37-24in	7.14	25.5	25.5	6.05	24	24	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-30-HT12	B37-30in	B37-30in	7.14	31.5	31.5	6.05	30	30	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-36-HT12	B37-36in	B37-36in	7.14	37.5	37.5	6.05	36	36	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-42-HT12	B37-42in	B37-42in	7.14	43.5	43.5	6.05	42	42	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-06-09-HT12	B37-06in	B37-09in	7.14	7.5	10.5	6.05	6	9	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-06-12-HT12	B37-06in	B37-12in	7.14	7.5	13.5	6.05	6	12	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-06-18-HT12	B37-06in	B37-18in	7.14	7.5	19.5	6.05	6	18	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-06-24-HT12	B37-06in	B37-24in	7.14	7.5	25.5	6.05	6	24	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-06-30-HT12	B37-06in	B37-30in	7.14	7.5	31.5	6.05	6	30	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-06-36-HT12	B37-06in	B37-36in	7.14	7.5	37.5	6.05	6	36	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-06-42-HT12	B37-06in	B37-42in	7.14	7.5	43.5	6.05	6	42	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-09-06-HT12	B37-09in	B37-06in	7.14	10.5	7.5	6.05	9	6	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-09-12-HT12	B37-09in	B37-12in	7.14	10.5	13.5	6.05	9	12	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-09-18-HT12	B37-09in	B37-18in	7.14	10.5	19.5	6.05	9	18	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-09-24-HT12	B37-09in	B37-24in	7.14	10.5	25.5	6.05	9	24	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-09-30-HT12	B37-09in	B37-30in	7.14	10.5	31.5	6.05	9	30	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-09-36-HT12	B37-09in	B37-36in	7.14	10.5	37.5	6.05	9	36	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-09-42-HT12	B37-09in	B37-42in	7.14	10.5	43.5	6.05	9	42	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-12-06-HT12	B37-12in	B37-06in	7.14	13.5	7.5	6.05	12	6	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-12-09-HT12	B37-12in	B37-09in	7.14	13.5	10.5	6.05	12	9	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-12-18-HT12	B37-12in	B37-18in	7.14	13.5	19.5	6.05	12	18	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-12-24-HT12	B37-12in	B37-24in	7.14	13.5	25.5	6.05	12	24	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-12-30-HT12	B37-12in	B37-30in	7.14	13.5	31.5	6.05	12	30	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-12-36-HT12	B37-12in	B37-36in	7.14	13.5	37.5	6.05	12	36	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-12-42-HT12	B37-12in	B37-42in	7.14	13.5	43.5	6.05	12	42	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-18-06-HT12	B37-18in	B37-06in	7.14	19.5	7.5	6.05	18	6	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-18-09-HT12	B37-18in	B37-09in	7.14	19.5	10.5	6.05	18	9	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-18-12-HT12	B37-18in	B37-12in	7.14	19.5	13.5	6.05	18	12	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-18-24-HT12	B37-18in	B37-24in	7.14	19.5	25.5	6.05	18	24	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-18-30-HT12	B37-18in	B37-30in	7.14	19.5	31.5	6.05	18	30	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-18-36-HT12	B37-18in	B37-36in	7.14	19.5	37.5	6.05	18	36	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-18-42-HT12	B37-18in	B37-42in	7.14	19.5	43.5	6.05	18	42	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-24-06-HT12	B37-24in	B37-06in	7.14	25.5	7.5	6.05	24	6	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-24-09-HT12	B37-24in	B37-09in	7.14	25.5	10.5	6.05	24	9	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-24-12-HT12	B37-24in	B37-12in	7.14	25.5	13.5	6.05	24	12	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-24-18-HT12	B37-24in	B37-18in	7.14	25.5	19.5	6.05	24	18	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-24-30-HT12	B37-24in	B37-30in	7.14	25.5	31.5	6.05	24	30	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-24-36-HT12	B37-24in	B37-36in	7.14	25.5	37.5	6.05	24	36	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-24-42-HT12	B37-24in	B37-42in	7.14	25.5	43.5	6.05	24	42	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-30-06-HT12	B37-30in	B37-06in	7.14	31.5	7.5	6.05	30	6	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-30-09-HT12	B37-30in	B37-09in	7.14	31.5	10.5	6.05	30	9	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-30-12-HT12	B37-30in	B37-12in	7.14	31.5	13.5	6.05	30	12	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-30-18-HT12	B37-30in	B37-18in	7.14	31.5	19.5	6.05	30	18	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-30-24-HT12	B37-30in	B37-24in	7.14	31.5	25.5	6.05	30	24	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-30-36-HT12	B37-30in	B37-36in	7.14	31.5	37.5	6.05	30	36	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-30-42-HT12	B37-30in	B37-42in	7.14	31.5	43.5	6.05	30	42	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-36-06-HT12	B37-36in	B37-06in	7.14	37.5	7.5	6.05	36	6	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-36-09-HT12	B37-36in	B37-09in	7.14	37.5	10.5	6.05	36	9	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-36-12-HT12	B37-36in	B37-12in	7.14	37.5	13.5	6.05	36	12	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-36-18-HT12	B37-36in	B37-18in	7.14	37.5	19.5	6.05	36	18	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-36-24-HT12	B37-36in	B37-24in	7.14	37.5	25.5	6.05	36	24	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-36-30-HT12	B37-36in	B37-30in	7.14	37.5	31.5	6.05	36	30	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-36-42-HT12	B37-36in	B37-42in	7.14	37.5	43.5	6.05	36	42	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-42-06-HT12	B37-42in	B37-06in	7.14	43.5	7.5	6.05	42	6	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-42-09-HT12	B37-42in	B37-09in	7.14	43.5	10.5	6.05	42	9	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-42-12-HT12	B37-42in	B37-12in	7.14	43.5	13.5	6.05	42	12	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-42-18-HT12	B37-42in	B37-18in	7.14	43.5	19.5	6.05	42	18	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-42-24-HT12	B37-42in	B37-24in	7.14	43.5	25.5	6.05	42	24	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-42-30-HT12	B37-42in	B37-30in	7.14	43.5	31.5	6.05	42	30	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
B37AL-42-36-HT12	B37-42in	B37-36in	7.14	43.5	37.5	6.05	42	36	0.09	2	0.075	1	1	9	12	3	B Series 37  Aluminum 7in rails
