PartNumber	NominalSize	NominalSize2	OutsideHeight (in)	OutsideWidth (in)	OutsideWidth2 (in)	InsideHeight (in)	InsideWidth (in)	InsideWidth2 (in)	RailFlangeThickness (in)	RailFlangeWidth (in)	RailWallThickness (in)	RungHeight (in)	RungLength (in)	FloorSectionSpacing (in)	Radius (in)	TangentLength (in)	Series
B34AL-24-06-HT12	B34-24in	B34-06in	4.2	25.5	7.5	3.08	24	6	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-24-09-HT12	B34-24in	B34-09in	4.2	25.5	10.5	3.08	24	9	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-24-12-HT12	B34-24in	B34-12in	4.2	25.5	13.5	3.08	24	12	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-24-18-HT12	B34-24in	B34-18in	4.2	25.5	19.5	3.08	24	18	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-24-30-HT12	B34-24in	B34-30in	4.2	25.5	31.5	3.08	24	30	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-24-36-HT12	B34-24in	B34-36in	4.2	25.5	37.5	3.08	24	36	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-24-42-HT12	B34-24in	B34-42in	4.2	25.5	43.5	3.08	24	42	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-30-06-HT12	B34-30in	B34-06in	4.2	31.5	7.5	3.08	30	6	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-30-09-HT12	B34-30in	B34-09in	4.2	31.5	10.5	3.08	30	9	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-30-12-HT12	B34-30in	B34-12in	4.2	31.5	13.5	3.08	30	12	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-30-18-HT12	B34-30in	B34-18in	4.2	31.5	19.5	3.08	30	18	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-30-24-HT12	B34-30in	B34-24in	4.2	31.5	25.5	3.08	30	24	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-30-36-HT12	B34-30in	B34-36in	4.2	31.5	37.5	3.08	30	36	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-30-42-HT12	B34-30in	B34-42in	4.2	31.5	43.5	3.08	30	42	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-36-06-HT12	B34-36in	B34-06in	4.2	37.5	7.5	3.08	36	6	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-36-09-HT12	B34-36in	B34-09in	4.2	37.5	10.5	3.08	36	9	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-36-12-HT12	B34-36in	B34-12in	4.2	37.5	13.5	3.08	36	12	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-36-18-HT12	B34-36in	B34-18in	4.2	37.5	19.5	3.08	36	18	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-36-24-HT12	B34-36in	B34-24in	4.2	37.5	25.5	3.08	36	24	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-36-30-HT12	B34-36in	B34-30in	4.2	37.5	31.5	3.08	36	30	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-36-42-HT12	B34-36in	B34-42in	4.2	37.5	43.5	3.08	36	42	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-42-06-HT12	B34-42in	B34-06in	4.2	43.5	7.5	3.08	42	6	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-42-09-HT12	B34-42in	B34-09in	4.2	43.5	10.5	3.08	42	9	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-42-12-HT12	B34-42in	B34-12in	4.2	43.5	13.5	3.08	42	12	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-42-18-HT12	B34-42in	B34-18in	4.2	43.5	19.5	3.08	42	18	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-42-24-HT12	B34-42in	B34-24in	4.2	43.5	25.5	3.08	42	24	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-42-30-HT12	B34-42in	B34-30in	4.2	43.5	31.5	3.08	42	30	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-42-36-HT12	B34-42in	B34-36in	4.2	43.5	37.5	3.08	42	36	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B35AL-06-HT12	B35-06in	B35-06in	5.06	7.49	7.49	3.96	6	6	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-09-HT12	B35-09in	B35-09in	5.06	10.49	10.49	3.96	9	9	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-12-HT12	B35-12in	B35-12in	5.06	13.49	13.49	3.96	12	12	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-18-HT12	B35-18in	B35-18in	5.06	19.49	19.49	3.96	18	18	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-24-HT12	B35-24in	B35-24in	5.06	25.49	25.49	3.96	24	24	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-30-HT12	B35-30in	B35-30in	5.06	31.49	31.49	3.96	30	30	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-36-HT12	B35-36in	B35-36in	5.06	37.49	37.49	3.96	36	36	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-42-HT12	B35-42in	B35-42in	5.06	43.49	43.49	3.96	42	42	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-06-09-HT12	B35-06in	B35-09in	5.06	7.49	10.49	3.96	6	9	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-06-12-HT12	B35-06in	B35-12in	5.06	7.49	13.49	3.96	6	12	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-06-18-HT12	B35-06in	B35-18in	5.06	7.49	19.49	3.96	6	18	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-06-24-HT12	B35-06in	B35-24in	5.06	7.49	25.49	3.96	6	24	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-06-30-HT12	B35-06in	B35-30in	5.06	7.49	31.49	3.96	6	30	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-06-36-HT12	B35-06in	B35-36in	5.06	7.49	37.49	3.96	6	36	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-06-42-HT12	B35-06in	B35-42in	5.06	7.49	43.49	3.96	6	42	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-09-06-HT12	B35-09in	B35-06in	5.06	10.49	7.49	3.96	9	6	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-09-12-HT12	B35-09in	B35-12in	5.06	10.49	13.49	3.96	9	12	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-09-18-HT12	B35-09in	B35-18in	5.06	10.49	19.49	3.96	9	18	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-09-24-HT12	B35-09in	B35-24in	5.06	10.49	25.49	3.96	9	24	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-09-30-HT12	B35-09in	B35-30in	5.06	10.49	31.49	3.96	9	30	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-09-36-HT12	B35-09in	B35-36in	5.06	10.49	37.49	3.96	9	36	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-09-42-HT12	B35-09in	B35-42in	5.06	10.49	43.49	3.96	9	42	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-12-06-HT12	B35-12in	B35-06in	5.06	13.49	7.49	3.96	12	6	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-12-09-HT12	B35-12in	B35-09in	5.06	13.49	10.49	3.96	12	9	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-12-18-HT12	B35-12in	B35-18in	5.06	13.49	19.49	3.96	12	18	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-12-24-HT12	B35-12in	B35-24in	5.06	13.49	25.49	3.96	12	24	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-12-30-HT12	B35-12in	B35-30in	5.06	13.49	31.49	3.96	12	30	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-12-36-HT12	B35-12in	B35-36in	5.06	13.49	37.49	3.96	12	36	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-12-42-HT12	B35-12in	B35-42in	5.06	13.49	43.49	3.96	12	42	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-18-06-HT12	B35-18in	B35-06in	5.06	19.49	7.49	3.96	18	6	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-18-09-HT12	B35-18in	B35-09in	5.06	19.49	10.49	3.96	18	9	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-18-12-HT12	B35-18in	B35-12in	5.06	19.49	13.49	3.96	18	12	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-18-24-HT12	B35-18in	B35-24in	5.06	19.49	25.49	3.96	18	24	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-18-30-HT12	B35-18in	B35-30in	5.06	19.49	31.49	3.96	18	30	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-18-36-HT12	B35-18in	B35-36in	5.06	19.49	37.49	3.96	18	36	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-18-42-HT12	B35-18in	B35-42in	5.06	19.49	43.49	3.96	18	42	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-24-06-HT12	B35-24in	B35-06in	5.06	25.49	7.49	3.96	24	6	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-24-09-HT12	B35-24in	B35-09in	5.06	25.49	10.49	3.96	24	9	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-24-12-HT12	B35-24in	B35-12in	5.06	25.49	13.49	3.96	24	12	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-24-18-HT12	B35-24in	B35-18in	5.06	25.49	19.49	3.96	24	18	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-24-30-HT12	B35-24in	B35-30in	5.06	25.49	31.49	3.96	24	30	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-24-36-HT12	B35-24in	B35-36in	5.06	25.49	37.49	3.96	24	36	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-24-42-HT12	B35-24in	B35-42in	5.06	25.49	43.49	3.96	24	42	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-30-06-HT12	B35-30in	B35-06in	5.06	31.49	7.49	3.96	30	6	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
B35AL-30-09-HT12	B35-30in	B35-09in	5.06	31.49	10.49	3.96	30	9	0.1	1.75	0.09	1	1	9	12	3	B Series 35  Aluminum 5in rails
