PartNumber	NominalSize	NominalSize2	OutsideHeight (in)	OutsideWidth (in)	OutsideWidth2 (in)	InsideHeight (in)	InsideWidth (in)	InsideWidth2 (in)	RailFlangeThickness (in)	RailFlangeWidth (in)	RailWallThickness (in)	RungHeight (in)	RungLength (in)	FloorSectionSpacing (in)	Length (in)	Series
B35AL-24-12-LR	B35-24in	B35-12in	5.06	25.49	13.49	3.96	24	12	0.1	1.75	0.09	1	1	6	14.9375	B Series 35  Aluminum 5in rails
B35AL-24-18-LR	B35-24in	B35-18in	5.06	25.49	19.49	3.96	24	18	0.1	1.75	0.09	1	1	6	11.5	B Series 35  Aluminum 5in rails
B35AL-30-06-LR	B35-30in	B35-06in	5.06	31.49	7.49	3.96	30	6	0.1	1.75	0.09	1	1	6	21.875	B Series 35  Aluminum 5in rails
B35AL-30-09-LR	B35-30in	B35-09in	5.06	31.49	10.49	3.96	30	9	0.1	1.75	0.09	1	1	6	20.125	B Series 35  Aluminum 5in rails
B35AL-30-12-LR	B35-30in	B35-12in	5.06	31.49	13.49	3.96	30	12	0.1	1.75	0.09	1	1	6	18.375	B Series 35  Aluminum 5in rails
B35AL-30-18-LR	B35-30in	B35-18in	5.06	31.49	19.49	3.96	30	18	0.1	1.75	0.09	1	1	6	14.9375	B Series 35  Aluminum 5in rails
B35AL-30-24-LR	B35-30in	B35-24in	5.06	31.49	25.49	3.96	30	24	0.1	1.75	0.09	1	1	6	11.5	B Series 35  Aluminum 5in rails
B35AL-36-06-LR	B35-36in	B35-06in	5.06	37.49	7.49	3.96	36	6	0.1	1.75	0.09	1	1	6	25.3125	B Series 35  Aluminum 5in rails
B35AL-36-09-LR	B35-36in	B35-09in	5.06	37.49	10.49	3.96	36	9	0.1	1.75	0.09	1	1	6	23.5625	B Series 35  Aluminum 5in rails
B35AL-36-12-LR	B35-36in	B35-12in	5.06	37.49	13.49	3.96	36	12	0.1	1.75	0.09	1	1	6	21.875	B Series 35  Aluminum 5in rails
B35AL-36-18-LR	B35-36in	B35-18in	5.06	37.49	19.49	3.96	36	18	0.1	1.75	0.09	1	1	6	18.375	B Series 35  Aluminum 5in rails
B35AL-36-24-LR	B35-36in	B35-24in	5.06	37.49	25.49	3.96	36	24	0.1	1.75	0.09	1	1	6	14.9375	B Series 35  Aluminum 5in rails
B35AL-36-30-LR	B35-36in	B35-30in	5.06	37.49	31.49	3.96	36	30	0.1	1.75	0.09	1	1	6	11.5	B Series 35  Aluminum 5in rails
B35AL-42-06-LR	B35-42in	B35-06in	5.06	43.49	7.49	3.96	42	6	0.1	1.75	0.09	1	1	6	28.75	B Series 35  Aluminum 5in rails
B35AL-42-09-LR	B35-42in	B35-09in	5.06	43.49	10.49	3.96	42	9	0.1	1.75	0.09	1	1	6	27.0625	B Series 35  Aluminum 5in rails
B35AL-42-12-LR	B35-42in	B35-12in	5.06	43.49	13.49	3.96	42	12	0.1	1.75	0.09	1	1	6	25.3125	B Series 35  Aluminum 5in rails
B35AL-42-18-LR	B35-42in	B35-18in	5.06	43.49	19.49	3.96	42	18	0.1	1.75	0.09	1	1	6	21.875	B Series 35  Aluminum 5in rails
B35AL-42-24-LR	B35-42in	B35-24in	5.06	43.49	25.49	3.96	42	24	0.1	1.75	0.09	1	1	6	18.375	B Series 35  Aluminum 5in rails
B35AL-42-30-LR	B35-42in	B35-30in	5.06	43.49	31.49	3.96	42	30	0.1	1.75	0.09	1	1	6	14.9375	B Series 35  Aluminum 5in rails
B35AL-42-36-LR	B35-42in	B35-36in	5.06	43.49	37.49	3.96	42	36	0.1	1.75	0.09	1	1	6	11.5	B Series 35  Aluminum 5in rails
B36AL-09-06-LR	B36-09in	B36-06in	6.17	10.45	7.45	5.06	9	6	0.11	2	0.075	1	1	6	9.75	B Series 36  Aluminum 6in rails
B36AL-12-06-LR	B36-12in	B36-06in	6.17	13.45	7.45	5.06	12	6	0.11	2	0.075	1	1	6	11.5	B Series 36  Aluminum 6in rails
B36AL-12-09-LR	B36-12in	B36-09in	6.17	13.45	10.45	5.06	12	9	0.11	2	0.075	1	1	6	9.75	B Series 36  Aluminum 6in rails
B36AL-18-06-LR	B36-18in	B36-06in	6.17	19.45	7.45	5.06	18	6	0.11	2	0.075	1	1	6	14.9375	B Series 36  Aluminum 6in rails
B36AL-18-09-LR	B36-18in	B36-09in	6.17	19.45	10.45	5.06	18	9	0.11	2	0.075	1	1	6	13.1875	B Series 36  Aluminum 6in rails
B36AL-18-12-LR	B36-18in	B36-12in	6.17	19.45	13.45	5.06	18	12	0.11	2	0.075	1	1	6	11.5	B Series 36  Aluminum 6in rails
B36AL-24-06-LR	B36-24in	B36-06in	6.17	25.45	7.45	5.06	24	6	0.11	2	0.075	1	1	6	18.375	B Series 36  Aluminum 6in rails
B36AL-24-09-LR	B36-24in	B36-09in	6.17	25.45	10.45	5.06	24	9	0.11	2	0.075	1	1	6	16.6875	B Series 36  Aluminum 6in rails
B36AL-24-12-LR	B36-24in	B36-12in	6.17	25.45	13.45	5.06	24	12	0.11	2	0.075	1	1	6	14.9375	B Series 36  Aluminum 6in rails
B36AL-24-18-LR	B36-24in	B36-18in	6.17	25.45	19.45	5.06	24	18	0.11	2	0.075	1	1	6	11.5	B Series 36  Aluminum 6in rails
