NominalSize	Schedule	BendDiameter(in)	OutsideDiameter(in)	WallThickness(in)
1/8in	SCHEDULE 80S	0.125	0.4050	0.0950
1/4in	SCHEDULE 80S	0.25	0.5400	0.1190
3/8in	SCHEDULE 80S	0.375	0.6750	0.1260
1/2in	SCHEDULE 80S	0.5	0.8400	0.1470
3/4in	SCHEDULE 80S	0.75	1.0500	0.1540
1in	SCHEDULE 80S	1	1.3150	0.1790
1 1/4in	SCHEDULE 80S	1.25	1.6600	0.1910
1 1/2in	SCHEDULE 80S	1.5	1.9000	0.2000
2in	SCHEDULE 80S	2	2.3750	0.2180
2 1/2in	SCHEDULE 80S	2.5	2.8750	0.2760
3in	SCHEDULE 80S	3	3.5000	0.3000
3 1/2in	SCHEDULE 80S	3.5	4.0000	0.3180
4in	SCHEDULE 80S	4	4.5000	0.3370
5in	SCHEDULE 80S	5	5.5630	0.3750
6in	SCHEDULE 80S	6	6.6250	0.4320
8in	SCHEDULE 80S	8	8.6250	0.5000
10in	SCHEDULE 80S	10	10.7500	0.5000
12in	SCHEDULE 80S	12	12.7500	0.5000
