PartType1	Standard1	EndStyle1	PartType2	Standard2	EndStyle2	AutomaticPartType
Not-PipingGasket	ASTL	RAISED FACE	Not-PipingGasket	ASTL	RAISED FACE	PipingGasket
Not-PipingGasket	ASTL	RING JOINT	Not-PipingGasket	ASTL	RING JOINT	PipingGasket
All	ASTL	BUTT WELD	Not-PipingGasket	ASTL	RAISED FACE	PipingNonReduceFlange
All	ASTL	BUTT WELD	Not-PipingGasket	ASTL	RING JOINT	PipingNonReduceFlange
All	ASTL	PLAIN END	Not-PipingGasket	ASTL	RAISED FACE	PipingNonReduceFlange
All	ASTL	PLAIN END	Not-PipingGasket	ASTL	RING JOINT	PipingNonReduceFlange
All	ASTL	THREADED MALE	Not-PipingGasket	ASTL	RAISED FACE	PipingNonReduceFlange
All	ASTL	THREADED MALE	Not-PipingGasket	ASTL	RING JOINT	PipingNonReduceFlange
