NominalSize	Schedule	BendDiameter(in)	OutsideDiameter(in)	WallThickness(in)	ISOGenSize(in)
6in	SCHEDULE 40S	6	6.625	0.28	6
8in	SCHEDULE 40S	8	8.625	0.322	8
10in	SCHEDULE 40S	10	10.75	0.365	10
12in	SCHEDULE 40S	12	12.75	0.375	12
1/8in	SCHEDULE 80S	0.125	0.405	0.095	0.125
1/4in	SCHEDULE 80S	0.25	0.54	0.119	0.25
3/8in	SCHEDULE 80S	0.375	0.675	0.126	0.375
1/2in	SCHEDULE 80S	0.5	0.84	0.147	0.5
3/4in	SCHEDULE 80S	0.75	1.05	0.154	0.75
1in	SCHEDULE 80S	1	1.315	0.179	1
1 1/4in	SCHEDULE 80S	1.25	1.66	0.191	1.25
1 1/2in	SCHEDULE 80S	1.5	1.9	0.2	1.5
2in	SCHEDULE 80S	2	2.375	0.218	2
2 1/2in	SCHEDULE 80S	2.5	2.875	0.276	2.5
3in	SCHEDULE 80S	3	3.5	0.3	3
3 1/2in	SCHEDULE 80S	3.5	4	0.318	3.5
4in	SCHEDULE 80S	4	4.5	0.337	4
5in	SCHEDULE 80S	5	5.563	0.375	5
6in	SCHEDULE 80S	6	6.625	0.432	6
8in	SCHEDULE 80S	8	8.625	0.5	8
10in	SCHEDULE 80S	10	10.75	0.5	10
12in	SCHEDULE 80S	12	12.75	0.5	12
