PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
L3x2.5x0.5	30	3.000	2.500	0.500	0.500	0.375	0.188	0	0	0	2.52	8.55	10.68	1.17	1.12	1.80	2.09	2.67	1.28	1.03	0.67	0.57	0.51	0.21	1.25	1.50	33.60
L3x2.5x0.4375	30	3.000	2.500	0.438	0.438	0.375	0.188	0	0	0	2.23	7.58	10.68	1.14	1.11	1.79	2.09	2.41	1.15	1.04	0.59	0.52	0.52	0.14	1.09	1.31	33.76
L3x2.5x0.375	30	3.000	2.500	0.375	0.375	0.375	0.188	0	0	0	1.94	6.59	10.68	1.10	1.11	1.79	2.10	2.13	1.02	1.05	0.52	0.47	0.52	0.09	0.94	1.13	33.89
L3x2.5x0.3125	30	3.000	2.500	0.313	0.313	0.375	0.188	0	0	0	1.64	5.56	10.68	1.07	1.11	1.78	2.10	1.83	0.87	1.06	0.44	0.40	0.52	0.05	0.78	0.94	33.99
L3x2.5x0.25	30	3.000	2.500	0.250	0.250	0.375	0.188	0	0	0	1.33	4.51	10.68	1.03	1.11	1.78	2.11	1.51	0.71	1.07	0.36	0.33	0.52	0.03	0.63	0.75	34.05
L3x2.5x0.1875	30	3.000	2.500	0.188	0.188	0.375	0.188	0	0	0	1.01	3.44	10.68	0.99	1.11	1.77	2.12	1.16	0.55	1.07	0.28	0.25	0.53	0.01	0.47	0.56	34.03
L3x2x0.5	30	3.000	2.000	0.500	0.500	0.313	0.156	0	0	0	2.26	7.69	9.73	0.95	1.04	1.54	2.00	2.16	1.08	0.98	0.41	0.39	0.42	0.19	1.00	1.50	22.43
L3x2x0.4375	30	3.000	2.000	0.438	0.438	0.313	0.156	0	0	0	2.01	6.82	9.73	0.92	1.04	1.53	2.01	1.96	0.97	0.99	0.36	0.35	0.42	0.13	0.88	1.31	22.74
L3x2x0.375	30	3.000	2.000	0.375	0.375	0.313	0.156	0	0	0	1.74	5.93	9.73	0.89	1.05	1.52	2.02	1.73	0.86	1.00	0.32	0.30	0.42	0.08	0.75	1.13	23.01
L3x2x0.3125	30	3.000	2.000	0.313	0.313	0.313	0.156	0	0	0	1.48	5.02	9.73	0.86	1.05	1.51	2.04	1.49	0.73	1.01	0.27	0.26	0.43	0.05	0.63	0.94	23.24
L3x2x0.25	30	3.000	2.000	0.250	0.250	0.313	0.156	0	0	0	1.20	4.07	9.73	0.83	1.05	1.50	2.05	1.23	0.60	1.01	0.22	0.21	0.43	0.02	0.50	0.75	23.41
L3x2x0.1875	30	3.000	2.000	0.188	0.188	0.313	0.156	0	0	0	0.91	3.10	9.73	0.80	1.06	1.48	2.07	0.95	0.46	1.02	0.17	0.16	0.43	0.01	0.38	0.56	23.49
L2.5x2x0.375	30	2.500	2.000	0.375	0.375	0.313	0.156	0	0	0	1.56	5.30	8.73	0.92	0.92	1.44	1.73	1.14	0.66	0.85	0.27	0.29	0.42	0.07	0.75	0.94	31.42
L2.5x2x0.3125	30	2.500	2.000	0.313	0.313	0.313	0.156	0	0	0	1.32	4.48	8.73	0.89	0.92	1.44	1.74	0.98	0.57	0.86	0.23	0.25	0.42	0.04	0.63	0.78	31.62
L2.5x2x0.25	30	2.500	2.000	0.250	0.250	0.313	0.156	0	0	0	1.07	3.65	8.73	0.85	0.92	1.43	1.75	0.82	0.47	0.87	0.19	0.21	0.42	0.02	0.50	0.63	31.76
L2.5x2x0.1875	30	2.500	2.000	0.188	0.188	0.313	0.156	0	0	0	0.82	2.78	8.73	0.82	0.92	1.42	1.76	0.63	0.36	0.88	0.15	0.16	0.42	0.01	0.38	0.47	31.82
L2.5x1.5x0.3125	30	2.500	1.500	0.313	0.313	0.313	0.156	0	0	0	1.16	3.95	7.73	0.66	0.82	1.20	1.66	0.77	0.47	0.81	0.12	0.14	0.32	0.04	0.47	0.78	19.02
L2.5x1.5x0.25	30	2.500	1.500	0.250	0.250	0.313	0.156	0	0	0	0.95	3.22	7.73	0.63	0.82	1.18	1.67	0.64	0.38	0.82	0.10	0.12	0.32	0.02	0.38	0.63	19.29
L2.5x1.5x0.1875	30	2.500	1.500	0.188	0.188	0.313	0.156	0	0	0	0.73	2.47	7.73	0.60	0.84	1.17	1.69	0.50	0.29	0.83	0.07	0.09	0.32	0.01	0.28	0.47	19.43
L2x1.5x0.25	30	2.000	1.500	0.250	0.250	0.250	0.125	0	0	0	0.82	2.79	6.79	0.67	0.73	1.09	1.38	0.38	0.27	0.68	0.08	0.11	0.32	0.02	0.38	0.50	28.27
L2x1.5x0.1875	30	2.000	1.500	0.188	0.188	0.250	0.125	0	0	0	0.63	2.13	6.79	0.64	0.73	1.08	1.39	0.30	0.21	0.69	0.06	0.09	0.32	0.01	0.28	0.38	28.47
L2x1.5x0.125	30	2.000	1.500	0.125	0.125	0.250	0.125	0	0	0	0.43	1.46	6.79	0.60	0.74	1.07	1.40	0.21	0.15	0.69	0.04	0.06	0.32	0.00	0.19	0.25	28.50
L2x1.25x0.25	30	2.000	1.250	0.250	0.250	0.250	0.125	0	0	0	0.76	2.57	6.29	0.55	0.67	0.98	1.34	0.32	0.24	0.66	0.05	0.08	0.26	0.02	0.31	0.50	20.46
L2x1.25x0.1875	30	2.000	1.250	0.188	0.188	0.250	0.125	0	0	0	0.58	1.98	6.29	0.52	0.68	0.96	1.35	0.26	0.19	0.66	0.04	0.06	0.27	0.01	0.23	0.38	20.76
L2x1.25x0.125	30	2.000	1.250	0.125	0.125	0.250	0.125	0	0	0	0.40	1.35	6.29	0.49	0.69	0.94	1.37	0.18	0.13	0.67	0.03	0.04	0.27	0.00	0.16	0.25	20.83
L1.75x1.25x0.25	30	1.750	1.250	0.250	0.250	0.188	0.094	0	0	0	0.69	2.35	5.84	0.57	0.63	0.93	1.19	0.24	0.20	0.58	0.05	0.08	0.26	0.01	0.31	0.44	25.79
L1.75x1.25x0.1875	30	1.750	1.250	0.188	0.188	0.188	0.094	0	0	0	0.53	1.81	5.84	0.54	0.63	0.92	1.20	0.19	0.16	0.59	0.04	0.06	0.27	0.01	0.23	0.33	26.17
L1.75x1.25x0.125	30	1.750	1.250	0.125	0.125	0.188	0.094	0	0	0	0.36	1.23	5.84	0.51	0.63	0.91	1.21	0.13	0.11	0.60	0.03	0.04	0.27	0.00	0.16	0.22	26.38
