PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
S6x12.5	11	6.000	3.331	0.232	0.358	0.500	0.000	9.4500	0	0	3.67	12.48	24.00	1.67	1.67	3.00	3.00	22.10	7.37	2.45	1.82	1.09	0.70	0.17	1.59	1.39	0.00
S5x14.75	11	5.000	3.283	0.492	0.327	0.500	0.000	9.4500	0	0	4.34	14.76	21.29	1.64	1.64	2.50	2.50	15.20	6.08	1.87	1.67	1.02	0.62	0.32	1.43	2.46	0.00
S5x10	11	5.000	3.004	0.213	0.327	0.500	0.000	9.4500	0	0	2.94	10.00	20.73	1.50	1.50	2.50	2.50	12.30	4.92	2.05	1.22	0.81	0.64	0.11	1.31	1.06	0.00
S4x9.5	11	4.000	2.795	0.327	0.291	0.438	0.000	9.4500	0	0	2.79	9.49	17.78	1.40	1.40	2.00	2.00	6.79	3.40	1.56	0.90	0.65	0.57	0.12	1.09	1.31	0.00
S4x7.7	11	4.000	2.661	0.193	0.291	0.438	0.000	9.4500	0	0	2.26	7.68	17.51	1.33	1.33	2.00	2.00	6.08	3.04	1.64	0.76	0.57	0.58	0.07	1.03	0.77	0.00
S3x7.5	11	3.000	2.508	0.350	0.260	0.438	0.000	9.4500	0	0	2.21	7.51	14.58	1.25	1.25	1.50	1.50	2.93	1.95	1.15	0.56	0.45	0.50	0.09	0.87	1.05	0.00
S3x5.7	11	3.000	2.331	0.169	0.260	0.438	0.000	9.4500	0	0	1.67	5.68	14.23	1.17	1.17	1.50	1.50	2.52	1.68	1.23	0.46	0.39	0.52	0.04	0.81	0.51	0.00
										
										
										
										
