PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
W36x588	10	39.840	17.400	1.790	3.230	1.125	0.000	0	0	0	173.2	589.0	143.77	8.70	8.70	19.92	19.92	43603	2189	15.86	2853	328	4.06	591.13	74.94	71.31	0
W36x527	10	39.210	17.220	1.610	2.910	1.125	0.000	0	0	0	155.1	527.2	142.15	8.61	8.61	19.61	19.61	38374	1957	15.73	2489	289	4.01	428.14	66.81	63.13	0
W36x485	10	38.740	17.105	1.500	2.680	1.125	0.000	0	0	0	142.8	485.7	140.97	8.55	8.55	19.37	19.37	34802	1797	15.61	2246	263	3.97	334.17	61.12	58.11	0
W36x439	10	38.260	16.965	1.360	2.440	1.125	0.000	0	0	0	129.3	439.5	139.73	8.48	8.48	19.13	19.13	31106	1626	15.51	1994	235	3.93	249.97	55.19	52.03	0
W36x393	10	37.800	16.830	1.220	2.200	1.125	0.000	0	0	0	115.9	394.0	138.55	8.42	8.42	18.90	18.90	27575	1459	15.43	1754	208	3.89	181.59	49.37	46.12	0
W36x359	10	37.400	16.730	1.120	2.010	1.125	0.000	0	0	0	105.7	359.5	137.55	8.37	8.37	18.70	18.70	24846	1329	15.33	1573	188	3.86	138.07	44.84	41.89	0
W36x328	10	37.090	16.630	1.020	1.850	1.125	0.000	0	0	0	96.7	328.7	136.73	8.32	8.32	18.55	18.55	22579	1218	15.28	1422	171	3.83	106.61	41.02	37.83	0
W36x300	10	36.740	16.655	0.945	1.680	1.125	0.000	0	0	0	88.6	301.2	136.28	8.33	8.33	18.37	18.37	20433	1112	15.19	1297	156	3.83	80.65	37.31	34.72	0
W36x280	10	36.520	16.594	0.886	1.571	1.125	0.000	0	0	0	82.8	281.5	135.71	8.30	8.30	18.26	18.26	18969	1039	15.14	1199	144	3.81	65.80	34.76	32.35	0
W36x260	10	36.260	16.551	0.839	1.441	1.125	0.000	0	0	0	76.8	261.0	135.12	8.28	8.28	18.13	18.13	17357	957	15.04	1091	132	3.77	51.45	31.80	30.41	0
W36x245	10	36.079	16.512	0.799	1.350	1.125	0.000	0	0	0	72.4	246.0	134.67	8.26	8.26	18.04	18.04	16223	899	14.97	1015	123	3.75	42.62	29.73	28.83	0
W36x230	10	35.902	16.469	0.760	1.260	1.125	0.000	0	0	0	67.9	231.0	134.23	8.23	8.23	17.95	17.95	15104	841	14.91	940	114	3.72	34.89	27.66	27.28	0
W36x256	10	37.430	12.215	0.960	1.730	0.875	0.000	0	0	0	75.5	256.8	120.30	6.11	6.11	18.72	18.72	16798	898	14.91	528	87	2.64	67.84	28.18	35.93	0
W36x232	10	37.120	12.120	0.870	1.570	0.938	0.000	0	0	0	68.4	232.5	119.37	6.06	6.06	18.56	18.56	15089	813	14.86	468	77	2.62	50.35	25.37	32.29	0
W36x210	10	36.689	12.181	0.831	1.358	0.938	0.000	0	0	0	62.1	211.0	118.83	6.09	6.09	18.34	18.34	13258	723	14.62	411	67	2.57	34.89	22.06	30.48	0
W36x194	10	36.488	12.114	0.764	1.260	0.938	0.000	0	0	0	57.2	194.6	118.30	6.06	6.06	18.24	18.24	12181	668	14.59	375	62	2.56	27.55	20.35	27.87	0
W36x182	10	36.331	12.075	0.724	1.181	0.938	0.000	0	0	0	53.9	183.2	117.90	6.04	6.04	18.17	18.17	11392	627	14.54	348	58	2.54	22.84	19.02	26.32	0
W36x170	10	36.169	12.031	0.681	1.098	0.875	0.000	0	0	0	50.2	170.8	117.60	6.02	6.02	18.08	18.08	10541	583	14.49	320	53	2.52	18.47	17.62	24.63	0
W36x160	10	36.012	12.000	0.650	1.020	0.938	0.000	0	0	0	47.3	160.8	117.11	6.00	6.00	18.01	18.01	9828	546	14.42	295	49	2.50	15.06	16.31	23.39	0
W36x150	10	35.850	11.976	0.626	0.941	0.938	0.000	0	0	0	44.6	151.5	116.74	5.99	5.99	17.93	17.93	9125	509	14.31	270	45	2.46	12.26	15.03	22.44	0
W36x135	10	35.551	11.949	0.598	0.791	0.875	0.000	0	0	0	39.9	135.6	116.20	5.97	5.97	17.78	17.78	7853	442	14.03	226	38	2.38	8.29	12.61	21.27	0
W33x619	10	38.470	16.910	1.970	3.540	0.813	0.000	0	0	0	182.1	619.2	139.25	8.46	8.46	19.24	19.24	41858	2176	15.16	2874	340	3.97	754.13	79.82	75.79	0
W33x567	10	37.910	16.750	1.810	3.270	0.813	0.000	0	0	0	166.9	567.4	137.81	8.38	8.38	18.96	18.96	37752	1992	15.04	2577	308	3.93	588.19	73.03	68.62	0
W33x515	10	37.360	16.590	1.650	2.990	0.813	0.000	0	0	0	151.6	515.3	136.39	8.30	8.30	18.68	18.68	33758	1807	14.92	2288	276	3.89	445.42	66.14	61.64	0
