PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
WT6x105	40	7.355	12.79	1.18	1.9	0.75	0	0	0	0	30.98	105.33	39.65	6.40	6.40	1.72	5.63	92.13	16.36	1.72	332.16	51.94	3.27	36.10	16.20	5.79	0.00
WT6x95	40	7.19	12.67	1.06	1.735	0.688	0	0	0	0	27.97	95.09	39.13	6.34	6.34	1.62	5.57	79.04	14.19	1.68	294.71	46.52	3.25	27.13	14.65	5.08	0.00
WT6x85	40	7.015	12.57	0.96	1.56	0.688	0	0	0	0	25.05	85.17	38.58	6.29	6.29	1.52	5.49	67.82	12.34	1.65	258.68	41.16	3.21	19.62	13.07	4.49	0.00
WT6x76	40	6.855	12.48	0.87	1.4	0.688	0	0	0	0	22.42	76.23	38.08	6.24	6.24	1.43	5.42	58.47	10.78	1.61	227.15	36.40	3.18	14.13	11.65	3.98	0.00
WT6x68	40	6.705	12.4	0.79	1.25	0.688	0	0	0	0	20.01	68.04	37.62	6.20	6.20	1.35	5.35	50.61	9.46	1.59	198.90	32.08	3.15	10.05	10.33	3.53	0.00
WT6x60	40	6.56	12.32	0.71	1.105	0.688	0	0	0	0	17.69	60.15	37.17	6.16	6.16	1.28	5.28	43.43	8.22	1.57	172.41	27.99	3.12	6.93	9.08	3.11	0.00
WT6x53	40	6.445	12.22	0.61	0.99	0.688	0	0	0	0	15.63	53.14	36.74	6.11	6.11	1.19	5.26	36.34	6.92	1.52	150.69	24.66	3.11	4.89	8.07	2.62	0.00
WT6x48	40	6.355	12.16	0.55	0.9	0.75	0	0	0	0	14.19	48.23	36.39	6.08	6.08	1.13	5.22	31.96	6.12	1.50	134.98	22.20	3.08	3.65	7.30	2.33	0.00
WT6x43.5	40	6.265	12.125	0.515	0.81	0.688	0	0	0	0	12.83	43.63	36.19	6.06	6.06	1.10	5.17	28.95	5.60	1.50	120.42	19.86	3.06	2.68	6.55	2.15	0.00
WT6x39.5	40	6.19	12.08	0.47	0.735	0.688	0	0	0	0	11.65	39.60	35.95	6.04	6.04	1.06	5.13	25.82	5.03	1.49	108.05	17.89	3.05	2.00	5.92	1.94	0.00
WT6x36	40	6.125	12.04	0.43	0.67	0.688	0	0	0	0	10.62	36.09	35.74	6.02	6.02	1.02	5.10	23.17	4.54	1.48	97.52	16.20	3.03	1.51	5.38	1.76	0.00
WT6x32.5	40	6.06	12	0.39	0.605	0.688	0	0	0	0	9.59	32.61	35.53	6.00	6.00	0.98	5.08	20.62	4.06	1.47	87.18	14.53	3.01	1.11	4.84	1.58	0.00
WT6x29	40	6.095	10.01	0.36	0.64	0.75	0	0	0	0	8.61	29.28	31.57	5.01	5.01	1.03	5.07	19.06	3.76	1.49	53.55	10.70	2.49	1.07	4.27	1.46	0.00
WT6x26.5	40	6.03	9.995	0.345	0.575	0.688	0	0	0	0	7.83	26.63	31.46	5.00	5.00	1.02	5.01	17.73	3.54	1.50	47.89	9.58	2.47	0.79	3.83	1.39	0.00
WT6x25	40	6.095	8.08	0.37	0.64	0.75	0	0	0	0	7.43	25.27	27.71	4.04	4.04	1.16	4.93	18.70	3.79	1.59	28.19	6.98	1.95	0.89	3.45	1.50	0.00
WT6x22.5	40	6.03	8.045	0.335	0.575	0.688	0	0	0	0	6.66	22.63	27.56	4.02	4.02	1.13	4.90	16.60	3.39	1.58	24.99	6.21	1.94	0.65	3.08	1.35	0.00
WT6x20	40	5.97	8.005	0.295	0.515	0.75	0	0	0	0	5.97	20.31	27.31	4.00	4.00	1.08	4.89	14.44	2.95	1.55	22.05	5.51	1.92	0.46	2.75	1.17	0.00
WT6x17.5	40	6.25	6.56	0.3	0.52	0.5	0	0	0	0	5.24	17.81	25.19	3.28	3.28	1.29	4.96	15.99	3.23	1.75	12.25	3.74	1.53	0.40	2.27	1.25	0.00
WT6x15	40	6.17	6.52	0.26	0.44	0.5	0	0	0	0	4.47	15.18	24.95	3.26	3.26	1.26	4.91	13.51	2.75	1.74	10.18	3.12	1.51	0.24	1.91	1.07	0.00
WT6x13	40	6.11	6.49	0.23	0.38	0.5	0	0	0	0	3.89	13.23	24.77	3.25	3.25	1.23	4.88	11.71	2.40	1.73	8.67	2.67	1.49	0.16	1.64	0.94	0.00
WT6x11	40	6.155	4.03	0.26	0.425	0.438	0	0	0	0	3.28	11.17	19.99	2.02	2.02	1.62	4.54	11.75	2.59	1.89	2.33	1.16	0.84	0.15	1.14	1.07	0.00
