CATRouPartNumber	CATRouSize	CATRouOutsideDiameter	
TUBE-3S	3/16"	0.1875in	
TUBE-4S	1/4"	0.2500in	
TUBE-5S	5/16"	0.3125in	
TUBE-6S	3/8"	0.3750in	
TUBE-8S	1/2"	0.5000in	
TUBE-10S	5/8"	0.6250in	
TUBE-12S	3/4"	0.7500in	
TUBE-14S	7/8"	0.8750in	
TUBE-16S	1"	1.0000in	
TUBE-20S	1 1/4"	1.2500in	
TUBE-24S	1 1/2"	1.5000in	
TUBE-32S	2"	2.0000in
