CATRouPartNumber	CATRouSize	CATRouOutsideDiameter	CATRouOutsideDiameter2	CATRouOutsideDiameter3	FaceToFaceLength	CenterToBranchFaceLength	Thread1Diameter	Thread2Diameter	Thread3Diameter	InsideDiameter	FlareAngle	FlareDiameter	FlareLength
2033-4-4S	1/4"	0.2500in	0.2500in	0.2500in	1.78in	0.89in	0.4375in	0.4375in	0.4375in	0.17in	37deg	0.35in	0.165in
2033-5-5S	5/16"	0.3125in	0.3125in	0.3125in	1.92in	0.95in	0.5000in	0.5000in	0.5000in	0.23in	37deg	0.41in	0.176in
2033-6-6S	3/8"	0.3750in	0.3750in	0.3750in	2.12in	1.06in	0.5625in	0.5625in	0.5625in	0.30in	37deg	0.47in	0.191in
2033-8-8S	1"	0.5000in	0.5000in	0.5000in	2.50in	1.25in	0.7500in	0.7500in	0.7500in	0.40in	37deg	0.62in	0.225in
2033-10-10S	5/8"	0.6250in	0.6250in	0.6250in	2.90in	1.45in	0.8750in	0.8750in	0.8750in	0.51in	37deg	0.85in	0.259in
2033-12-12S	3/4"	0.7500in	0.7500in	0.7500in	3.32in	1.66in	1.0625in	1.0625in	1.0625in	0.61in	37deg	0.95in	0.271in
2033-16-16S	1"	1.0000in	1.0000in	1.0000in	3.62in	1.81in	1.3125in	1.3125in	1.3125in	0.84in	37deg	1.10in	0.300in
2033-20-20S	1 1/4"	1.2500in	1.2500in	1.2500in	4.38in	2.06in	1.6250in	1.3125in	1.6250in	1.08in	37deg	1.50in	0.327in
