FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
TubingBlockValveFunc	4mm	50mm	TubingCheckValve
TubingBlockValveFunc	25mm	50mm	TubingControlValve
TubingBlockValveFunc	25mm	50mm	TubingSafetyValve
TubingThrotValveFunc	4mm	50mm	TubingCheckValve
TubingContrlValveFunc	4mm	50mm	TubingControlValve
TubingCheckValveFunc	4mm	50mm	TubingCheckValve
TubingIsolatValveFunc	4mm	25mm	TubingCheckValve
TubingIsolatValveFunc	30mm	50mm	TubingControlValve
TubingSafetyValveFunc	12mm	50mm	TubingSafetyValve
