FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
TubingTubeFunc	4mm	50mm	TubingBendableTube
TubingTubeFunc	4mm	50mm	TubingStraightTube
TubingTubeFunc	4mm	25mm	TubingUnion
TubingTubeFunc	28mm	50mm	TubingCoupling
TubingTubeFunc	15mm	30mm	TubingHalfCoupling
TubingTubeFunc	15mm	30mm	TubingNipple
TubingTubeFunc	4mm	50mm	TubingNonReduceElbow
TubingTubeFunc	4mm	50mm	TubingGasket
TubingTubeFunc	4mm	50mm	TubingRing
