FunctionName	MinSize	MaxSize	PhysicalPart
HVACBranchFunc	100mm	8000mm	HVACRectFork
HVACBranchFunc	100mm	8000mm	HVACRectAngledTapRect
HVACBranchFunc	100mm	8000mm	HVACRectOffsetTee
HVACBranchFunc	100mm	8000mm	HVACRectLtrlOffsetTee
HVACBranchFunc	100mm	8000mm	HVACRectTee
HVACBranchFunc	100mm	8000mm	HVACRectTapRnd
HVACBranchFunc	100mm	8000mm	HVACRectTapRect
HVACBranchFunc	100mm	8000mm	HVACRectSection
