CATRouPartNumber	CATRouSize1	CATRouSize2	CATRouOutsideDiameter1	CATRouOutsideDiameter2
RD-REDUCER-SH-SM-04-03	4"	3"	4in	3in
RD-REDUCER-SH-SM-05-04	5"	4"	5in	4in
RD-REDUCER-SH-SM-05-03	5"	3"	5in	3in
RD-REDUCER-SH-SM-06-05	6"	5"	6in	5in
RD-REDUCER-SH-SM-06-04	6"	4"	6in	4in
RD-REDUCER-SH-SM-06-03	6"	3"	6in	3in
RD-REDUCER-SH-SM-07-06	7"	6"	7in	6in
RD-REDUCER-SH-SM-07-05	7"	5"	7in	5in
RD-REDUCER-SH-SM-07-04	7"	4"	7in	4in
RD-REDUCER-SH-SM-07-03	7"	3"	7in	3in
RD-REDUCER-SH-SM-08-07	8"	7"	8in	7in
RD-REDUCER-SH-SM-08-06	8"	6"	8in	6in
RD-REDUCER-SH-SM-08-05	8"	5"	8in	5in
RD-REDUCER-SH-SM-08-04	8"	4"	8in	4in
RD-REDUCER-SH-SM-09-08	9"	8"	9in	8in
RD-REDUCER-SH-SM-09-07	9"	7"	9in	7in
RD-REDUCER-SH-SM-09-06	9"	6"	9in	6in
RD-REDUCER-SH-SM-09-05	9"	5"	9in	5in
RD-REDUCER-SH-SM-10-09	10"	9"	10in	9in
RD-REDUCER-SH-SM-10-08	10"	8"	10in	8in
RD-REDUCER-SH-SM-10-07	10"	7"	10in	7in
RD-REDUCER-SH-SM-10-06	10"	6"	10in	6in
RD-REDUCER-SH-SM-10-05	10"	5"	10in	5in
RD-REDUCER-SH-SM-12-10	12"	10"	12in	10in
RD-REDUCER-SH-SM-12-09	12"	9"	12in	9in
RD-REDUCER-SH-SM-12-08	12"	8"	12in	8in
RD-REDUCER-SH-SM-12-07	12"	7"	12in	7in
RD-REDUCER-SH-SM-12-06	12"	6"	12in	6in
RD-REDUCER-SH-SM-14-12	14"	12"	14in	12in
RD-REDUCER-SH-SM-14-10	14"	10"	14in	10in
RD-REDUCER-SH-SM-14-09	14"	9"	14in	9in
RD-REDUCER-SH-SM-14-08	14"	8"	14in	8in
RD-REDUCER-SH-SM-14-07	14"	7"	14in	7in
RD-REDUCER-SH-SM-16-14	16"	14"	16in	14in
RD-REDUCER-SH-SM-16-12	16"	12"	16in	12in
RD-REDUCER-SH-SM-16-10	16"	10"	16in	10in
RD-REDUCER-SH-SM-16-09	16"	9"	16in	9in
RD-REDUCER-SH-SM-16-08	16"	8"	16in	8in
RD-REDUCER-SH-SM-18-16	18"	16"	18in	16in
RD-REDUCER-SH-SM-18-14	18"	14"	18in	14in
RD-REDUCER-SH-SM-18-12	18"	12"	18in	12in
RD-REDUCER-SH-SM-18-10	18"	10"	18in	10in
RD-REDUCER-SH-SM-18-09	18"	9"	18in	9in
RD-REDUCER-SH-SM-20-18	20"	18"	20in	18in
RD-REDUCER-SH-SM-20-16	20"	16"	20in	16in
RD-REDUCER-SH-SM-20-14	20"	14"	20in	14in
RD-REDUCER-SH-SM-20-12	20"	12"	20in	12in
RD-REDUCER-SH-SM-20-10	20"	10"	20in	10in
RD-REDUCER-SH-SM-22-20	22"	20"	22in	20in
RD-REDUCER-SH-SM-22-18	22"	18"	22in	18in
RD-REDUCER-SH-SM-22-16	22"	16"	22in	16in
RD-REDUCER-SH-SM-22-14	22"	14"	22in	14in
RD-REDUCER-SH-SM-22-12	22"	12"	22in	12in
RD-REDUCER-SH-SM-24-22	24"	22"	24in	22in
RD-REDUCER-SH-SM-24-20	24"	20"	24in	20in
RD-REDUCER-SH-SM-24-18	24"	18"	24in	18in
RD-REDUCER-SH-SM-24-16	24"	16"	24in	16in
RD-REDUCER-SH-SM-24-14	24"	14"	24in	14in
RD-REDUCER-SH-SM-24-12	24"	12"	24in	12in
RD-REDUCER-SH-SM-26-24	26"	24"	26in	24in
RD-REDUCER-SH-SM-26-22	26"	22"	26in	22in
RD-REDUCER-SH-SM-26-20	26"	20"	26in	20in
RD-REDUCER-SH-SM-26-18	26"	18"	26in	18in
RD-REDUCER-SH-SM-26-16	26"	16"	26in	16in
RD-REDUCER-SH-SM-26-14	26"	14"	26in	14in
RD-REDUCER-SH-SM-28-26	28"	26"	28in	26in
RD-REDUCER-SH-SM-28-24	28"	24"	28in	24in
RD-REDUCER-SH-SM-28-22	28"	22"	28in	22in
RD-REDUCER-SH-SM-28-20	28"	20"	28in	20in
RD-REDUCER-SH-SM-28-18	28"	18"	28in	18in
RD-REDUCER-SH-SM-28-16	28"	16"	28in	16in
RD-REDUCER-SH-SM-28-14	28"	14"	28in	14in
RD-REDUCER-SH-SM-30-28	30"	28"	30in	28in
RD-REDUCER-SH-SM-30-26	30"	26"	30in	26in
RD-REDUCER-SH-SM-30-24	30"	24"	30in	24in
RD-REDUCER-SH-SM-30-22	30"	22"	30in	22in
RD-REDUCER-SH-SM-30-20	30"	20"	30in	20in
RD-REDUCER-SH-SM-30-18	30"	18"	30in	18in
RD-REDUCER-SH-SM-30-16	30"	16"	30in	16in
