CATRouPartNumber	CATRouSize	CATRouOutsideDiameter
RD-CPLG-SI-03	3"	3in
RD-CPLG-SI-04	4"	4in
RD-CPLG-SI-05	5"	5in
RD-CPLG-SI-06	6"	6in
RD-CPLG-SI-07	7"	7in
RD-CPLG-SI-08	8"	8in
RD-CPLG-SI-09	9"	9in
RD-CPLG-SI-10	10"	10in
RD-CPLG-SI-12	12"	12in
RD-CPLG-SI-14	14"	14in
RD-CPLG-SI-16	16"	16in
RD-CPLG-SI-18	18"	18in
RD-CPLG-SI-20	20"	20in
RD-CPLG-SI-22	22"	22in
RD-CPLG-SI-24	24"	24in
RD-CPLG-SI-26	26"	26in
RD-CPLG-SI-28	28"	28in
RD-CPLG-SI-30	30"	30in
