CATRouPartNumber	CATRouSize	CATRouOutsideDiameter
RD-TEE-LBD-03	3"	3in
RD-TEE-LBD-04	4"	4in
RD-TEE-LBD-05	5"	5in
RD-TEE-LBD-06	6"	6in
RD-TEE-LBD-07	7"	7in
RD-TEE-LBD-08	8"	8in
RD-TEE-LBD-09	9"	9in
RD-TEE-LBD-10	10"	10in
RD-TEE-LBD-12	12"	12in
RD-TEE-LBD-14	14"	14in
RD-TEE-LBD-16	16"	16in
RD-TEE-LBD-18	18"	18in
RD-TEE-LBD-20	20"	20in
RD-TEE-LBD-22	22"	22in
RD-TEE-LBD-24	24"	24in
RD-TEE-LBD-26	26"	26in
RD-TEE-LBD-29	28"	28in
RD-TEE-LBD-30	30"	30in
