CATRouPartNumber	CATRouSize	CATRouOutsideDiameter
RD-TEE-FLG-03	3"	3in
RD-TEE-FLG-04	4"	4in
RD-TEE-FLG-05	5"	5in
RD-TEE-FLG-06	6"	6in
RD-TEE-FLG-07	7"	7in
RD-TEE-FLG-08	8"	8in
RD-TEE-FLG-09	9"	9in
RD-TEE-FLG-10	10"	10in
RD-TEE-FLG-12	12"	12in
RD-TEE-FLG-14	14"	14in
RD-TEE-FLG-16	16"	16in
RD-TEE-FLG-18	18"	18in
RD-TEE-FLG-20	20"	20in
RD-TEE-FLG-22	22"	22in
RD-TEE-FLG-24	24"	24in
RD-TEE-FLG-26	26"	26in
RD-TEE-FLG-28	28"	28in
RD-TEE-FLG-30	30"	30in
