CATRouPartNumber	CATRouSize	CATRouOutsideDiameter
RD-DUCT-03	3"	3in
RD-DUCT-04	4"	4in
RD-DUCT-05	5"	5in
RD-DUCT-06	6"	6in
RD-DUCT-07	7"	7in
RD-DUCT-08	8"	8in
RD-DUCT-09	9"	9in
RD-DUCT-10	10"	10in
RD-DUCT-12	12"	12in
RD-DUCT-14	14"	14in
RD-DUCT-16	16"	16in
RD-DUCT-18	18"	18in
RD-DUCT-20	20"	20in
RD-DUCT-22	22"	22in
RD-DUCT-24	24"	24in
RD-DUCT-26	26"	26in
RD-DUCT-28	28"	28in
RD-DUCT-30	30"	30in
