CATRouPartNumber	CATRouSize	CATRouOutsideDiameter
RD-TEE-LAT-03	3"	3in
RD-TEE-LAT-04	4"	4in
RD-TEE-LAT-05	5"	5in
RD-TEE-LAT-06	6"	6in
RD-TEE-LAT-07	7"	7in
RD-TEE-LAT-08	8"	8in
RD-TEE-LAT-09	9"	9in
RD-TEE-LAT-10	10"	10in
RD-TEE-LAT-12	12"	12in
RD-TEE-LAT-14	14"	14in
RD-TEE-LAT-16	16"	16in
RD-TEE-LAT-18	18"	18in
RD-TEE-LAT-20	20"	20in
RD-TEE-LAT-22	22"	22in
RD-TEE-LAT-24	24"	24in
RD-TEE-LAT-26	26"	26in
RD-TEE-LAT-28	28"	28in
RD-TEE-LAT-30	30"	30in
