CATRouPartNumber	CATRouSize	CATRouOutsideDiameter
RD-FLEXCONN-03	3"	3in
RD-FLEXCONN-04	4"	4in
RD-FLEXCONN-05	5"	5in
RD-FLEXCONN-06	6"	6in
RD-FLEXCONN-07	7"	7in
RD-FLEXCONN-08	8"	8in
RD-FLEXCONN-09	9"	9in
RD-FLEXCONN-10	10"	10in
RD-FLEXCONN-12	12"	12in
RD-FLEXCONN-14	14"	14in
RD-FLEXCONN-16	16"	16in
RD-FLEXCONN-18	18"	18in
RD-FLEXCONN-20	20"	20in
RD-FLEXCONN-22	22"	22in
RD-FLEXCONN-24	24"	24in
RD-FLEXCONN-26	26"	26in
RD-FLEXCONN-28	28"	28in
RD-FLEXCONN-30	30"	30in
