CATRouPartNumber	CATRouSize	CATRouOutsideDiameter
RD-CPLG-SO-03	3"	3in
RD-CPLG-SO-04	4"	4in
RD-CPLG-SO-05	5"	5in
RD-CPLG-SO-06	6"	6in
RD-CPLG-SO-07	7"	7in
RD-CPLG-SO-08	8"	8in
RD-CPLG-SO-09	9"	9in
RD-CPLG-SO-10	10"	10in
RD-CPLG-SO-12	12"	12in
RD-CPLG-SO-14	14"	14in
RD-CPLG-SO-16	16"	16in
RD-CPLG-SO-18	18"	18in
RD-CPLG-SO-20	20"	20in
RD-CPLG-SO-22	22"	22in
RD-CPLG-SO-24	24"	24in
RD-CPLG-SO-26	26"	26in
RD-CPLG-SO-28	28"	28in
RD-CPLG-SO-30	30"	30in
