FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
PipingBlockValveFunc_Sample	1/2in	20in	PipingGateValve
PipingBlockValveFunc_Sample	1/2in	20in	PipingBallValve
PipingBlockValveFunc_Sample	6in	20in	PipingButterflyValve
PipingContrlValveFunc_Sample	2in	20in	PipingControlValve
PipingContrlValveFunc_Sample	2in	20in	PipingGateValve
PipingContrlValveFunc_Sample	2in	20in	PipingGlobeValve
PipingCheckValveFunc_Sample	1/2in	20in	PipingCheckValve 
PipingIsolatValveFunc_Sample	1/2in	20in	PipingGateValve
PipingIsolatValveFunc_Sample	1/2in	20in	PipingBallValve
PipingThrotValveFunc_Sample	1/2in	8in	PipingGlobeValve
