PartNumber	NominalSize	NominalSize2	OutsideDiameter	OutsideDiameter2	FaceToFaceLength	ThreadDiameter	ThreadDiameter2	ThreadLength	ThreadLength2	InsideDiameter	InsideDiameter2	FlareAngle	FlareDiameter	FlareDiameter2	FlareLength	FlareLength2	HexNutDiameter	Standard	
UNION-TMFL-8mm-6mm	8mm	6mm	8mm	6mm	35mm	13mm	11mm	7mm	7mm	6mm	4mm	37deg	10mm	9mm	4mm	4mm	16mm	SSTLMM	
UNION-TMFL-8mm-8mm	8mm	8mm	8mm	8mm	35mm	13mm	13mm	7mm	7mm	6mm	6mm	37deg	10mm	10mm	4mm	4mm	16mm	SSTLMM	
UNION-TMFL-10mm-6mm	10mm	6mm	10mm	6mm	36mm	14mm	11mm	8mm	7mm	8mm	4mm	37deg	12mm	9mm	5mm	4mm	18mm	SSTLMM	
UNION-TMFL-10mm-8mm	10mm	8mm	10mm	8mm	36mm	14mm	13mm	8mm	7mm	8mm	6mm	37deg	12mm	10mm	5mm	4mm	18mm	SSTLMM	
UNION-TMFL-10mm-10mm	10mm	10mm	10mm	10mm	36mm	14mm	14mm	8mm	8mm	8mm	8mm	37deg	12mm	12mm	5mm	5mm	18mm	SSTLMM	
UNION-TMFL-12mm-6mm	12mm	6mm	12mm	6mm	38mm	19mm	11mm	10mm	7mm	10mm	4mm	37deg	16mm	9mm	6mm	4mm	22mm	SSTLMM	
UNION-TMFL-12mm-10mm	12mm	10mm	12mm	10mm	39mm	19mm	14mm	10mm	8mm	10mm	8mm	37deg	16mm	12mm	6mm	5mm	22mm	SSTLMM	
UNION-TMFL-12mm-12mm	12mm	12mm	12mm	12mm	41mm	19mm	19mm	10mm	10mm	10mm	10mm	37deg	16mm	16mm	6mm	6mm	22mm	SSTLMM	
UNION-TMFL-16mm-8mm	16mm	8mm	16mm	8mm	42mm	22mm	13mm	11mm	7mm	13mm	6mm	37deg	21mm	10mm	7mm	4mm	25mm	SSTLMM	
UNION-TMFL-16mm-10mm	16mm	10mm	16mm	10mm	43mm	22mm	14mm	11mm	8mm	13mm	8mm	37deg	21mm	12mm	7mm	5mm	25mm	SSTLMM	
UNION-TMFL-16mm-12mm	16mm	12mm	16mm	12mm	45mm	22mm	19mm	11mm	10mm	13mm	10mm	37deg	21mm	16mm	7mm	6mm	25mm	SSTLMM	
UNION-TMFL-16mm-16mm	16mm	16mm	16mm	16mm	48mm	22mm	22mm	11mm	11mm	13mm	13mm	37deg	21mm	21mm	7mm	7mm	25mm	SSTLMM	
UNION-TMFL-20mm-12mm	20mm	12mm	20mm	12mm	50mm	27mm	19mm	11mm	10mm	15mm	10mm	37deg	24mm	16mm	7mm	6mm	32mm	SSTLMM	
UNION-TMFL-20mm-16mm	20mm	16mm	20mm	16mm	52mm	27mm	22mm	11mm	11mm	15mm	13mm	37deg	24mm	21mm	7mm	7mm	32mm	SSTLMM	
UNION-TMFL-20mm-20mm	20mm	20mm	20mm	20mm	55mm	27mm	27mm	11mm	11mm	15mm	15mm	37deg	24mm	24mm	7mm	7mm	32mm	SSTLMM	
UNION-TMFL-25mm-20mm	25mm	20mm	25mm	20mm	56mm	33mm	27mm	13mm	11mm	21mm	15mm	37deg	28mm	24mm	8mm	7mm	38mm	SSTLMM	
UNION-TMFL-25mm-25mm	25mm	25mm	25mm	25mm	57mm	33mm	33mm	13mm	13mm	21mm	21mm	37deg	28mm	28mm	8mm	7mm	38mm	SSTLMM	
UNION-TMFL-30mm-30mm	30mm	30mm	30mm	30mm	62mm	41mm	41mm	14mm	14mm	27mm	27mm	37deg	38mm	38mm	8mm	8mm	51mm	SSTLMM	
UNION-TMFL-38mm-38mm	38mm	38mm	38mm	38mm	70mm	48mm	48mm	16mm	16mm	33mm	33mm	37deg	44mm	44mm	10mm	10mm	57mm	SSTLMM	
UNION-TMFL-50mm-50mm	50mm	50mm	50mm	50mm	86mm	64mm	64mm	19mm	19mm	45mm	45mm	37deg	58mm	58mm	11mm	11mm	73mm	SSTLMM	
