PartNumber	NominalSize	NominalSize2	OutsideDiameter	OutsideDiameter2	EndToEndLength	ConnectorOffsetPipeEnd	ThreadDiameterPipeEnd	ThreadDiameterFlareEnd	ThreadLengthFlareEnd	InsideDiameterPipeEnd	InsideDiameterFlareEnd	FlareAngle	FlareDiameterFlareEnd	FlareLengthFlareEnd	HexNutDiameter	HexNutThickness	Standard	
ADAPTOR-TM-TMFL-16-32S	1in	2in	1in	2in	3.02in	0.69in	1.3125in	2.5in	0.688in	0.84in	1.78in	37deg	2.3in	0.45in	2.5in	0.4in	SSTL	
ADAPTOR-TM-TMFL-20-12S	1 1/4in	3/4in	1.25in	0.75in	2.36in	0.69in	1.625in	1.0625in	0.45in	1.08in	0.61in	37deg	0.95in	0.271in	1.69in	0.4in	SSTL	
ADAPTOR-TM-TMFL-20-16S	1 1/4in	1in	1.25in	1in	2.4in	0.69in	1.625in	1.3125in	0.5in	1.08in	0.84in	37deg	1.1in	0.3in	1.69in	0.4in	SSTL	
ADAPTOR-TM-TMFL-20-20S	1 1/4in	1 1/4in	1.25in	1.25in	2.45in	0.69in	1.625in	1.625in	0.544in	1.08in	1.08in	37deg	1.5in	0.327in	1.69in	0.4in	SSTL	
ADAPTOR-TM-TMFL-20-24S	1 1/4in	1 1/2in	1.25in	1.5in	2.65in	0.69in	1.625in	1.875in	0.625in	1.08in	1.31in	37deg	1.75in	0.375in	2in	0.4in	SSTL	
ADAPTOR-TM-TMFL-20-32S	1 1/4in	2in	1.25in	2in	3.05in	0.69in	1.625in	2.5in	0.688in	1.08in	1.78in	37deg	2.3in	0.45in	2.5in	0.4in	SSTL	
ADAPTOR-TM-TMFL-24-12S	1 1/2in	3/4in	1.5in	0.75in	2.46in	0.69in	1.875in	1.0625in	0.45in	1.31in	0.61in	37deg	0.95in	0.271in	2in	0.4in	SSTL	
ADAPTOR-TM-TMFL-24-16S	1 1/2in	1in	1.5in	1in	2.51in	0.69in	1.875in	1.3125in	0.5in	1.31in	0.84in	37deg	1.1in	0.3in	2in	0.4in	SSTL	
ADAPTOR-TM-TMFL-24-20S	1 1/2in	1 1/4in	1.5in	1.25in	2.55in	0.69in	1.875in	1.625in	0.544in	1.31in	1.08in	37deg	1.5in	0.327in	2in	0.4in	SSTL	
ADAPTOR-TM-TMFL-24-24S	1 1/2in	1 1/2in	1.5in	1.5in	2.68in	0.69in	1.875in	1.875in	0.625in	1.31in	1.31in	37deg	1.75in	0.375in	2in	0.4in	SSTL	
ADAPTOR-TM-TMFL-24-32S	1 1/2in	2in	1.5in	2in	3.08in	0.69in	1.875in	2.5in	0.688in	1.31in	1.78in	37deg	2.3in	0.45in	2.5in	0.4in	SSTL	
ADAPTOR-TM-TMFL-32-32S	2in	2in	2in	2in	3.11in	0.75in	2.5in	2.5in	0.688in	1.78in	1.78in	37deg	2.3in	0.45in	2.5in	0.4in	SSTL	
ADAPTOR-TM-TMFL-6mm-6mm	6mm	6mm	6mm	6mm	36mm	10mm	11mm	11mm	7mm	4mm	4mm	37deg	9mm	4mm	14mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-6mm-8mm	6mm	8mm	6mm	8mm	36mm	10mm	11mm	13mm	7mm	4mm	6mm	37deg	10mm	5mm	16mm	10mm	SSTLMM	
ADAPTOR-TM-TMFL-6mm-10mm	6mm	10mm	6mm	10mm	36mm	10mm	11mm	14mm	8mm	4mm	8mm	37deg	12mm	5mm	18mm	10mm	SSTLMM	
