PartNumber	NominalSize	Rating	OutsideDiameter (in)	FaceToFaceLength (in)	HandWheelHeight (in)	HandWheelDiameter (in)	
V-GATE-WM-HW-BWFS-300-2in	2in	300#	2.375	8.5	11	7	
V-GATE-WM-HW-BWFS-300-2.5in	2 1/2in	300#	2.875	9.5	14	8	
V-GATE-WM-HW-BWFS-300-3in	3in	300#	3.5	11.125	14	8	
V-GATE-WM-HW-BWFS-300-4in	4in	300#	4.5	12	18	9.75	
V-GATE-WM-HW-BWFS-600-2in	2in	600#	2.375	11.5	11	7	
V-GATE-WM-HW-BWFS-600-2.5in	2 1/2in	600#	2.875	13	14	8	
V-GATE-WM-HW-BWFS-600-3in	3in	600#	3.5	14	14	8	
V-GATE-WM-HW-BWFS-600-4in	4in	600#	4.5	17	18	9.75	
