PartNumber	NominalSize	Rating	OutsideDiameter (in)	FaceToFaceLength (in)	EndDiameter (in)	EndThickness (in)	
FLANGE-WN-RJBW-150-1in	1in	150#	1.315	2.437	4.25	0.56	
FLANGE-WN-RJBW-150-1.25in	1 1/4in	150#	1.66	2.5	4.62	0.62	
FLANGE-WN-RJBW-150-1.5in	1 1/2in	150#	1.9	2.685	5	0.69	
FLANGE-WN-RJBW-150-2in	2in	150#	2.375	2.75	6	0.75	
FLANGE-WN-RJBW-150-2.5in	2 1/2in	150#	2.875	3	7	0.88	
FLANGE-WN-RJBW-150-3in	3in	150#	3.5	3	7.5	0.94	
FLANGE-WN-RJBW-150-3.5in	3 1/2in	150#	4	3.062	8.5	0.94	
FLANGE-WN-RJBW-150-4in	4in	150#	4.5	3.25	9	0.94	
FLANGE-WN-RJBW-150-5in	5in	150#	5.563	3.75	10	0.94	
FLANGE-WN-RJBW-150-6in	6in	150#	6.625	3.75	11	1	
FLANGE-WN-RJBW-150-8in	8in	150#	8.625	4.25	13.5	1.12	
FLANGE-WN-RJBW-150-10in	10in	150#	10.75	4.25	16	1.19	
FLANGE-WN-RJBW-150-12in	12in	150#	12.75	4.75	19	1.25	
FLANGE-WN-RJBW-150-14in	14in	150#	14	5.25	21	1.38	
FLANGE-WN-RJBW-150-16in	16in	150#	16	5.25	23.5	1.44	
FLANGE-WN-RJBW-150-18in	18in	150#	18	5.75	25	1.56	
FLANGE-WN-RJBW-150-20in	20in	150#	20	5.937	27.5	1.69	
FLANGE-WN-RJBW-150-24in	24in	150#	24	6.25	32	1.88	
FLANGE-WN-RJBW-300-0.5in	1/2in	300#	0.84	2.279	3.75	0.56	
FLANGE-WN-RJBW-300-0.75in	3/4in	300#	1.05	2.5	4.62	0.62	
FLANGE-WN-RJBW-300-1in	1in	300#	1.315	2.685	4.88	0.69	
FLANGE-WN-RJBW-300-1.25in	1 1/4in	300#	1.66	2.811	5.25	0.75	
FLANGE-WN-RJBW-300-1.5in	1 1/2in	300#	1.9	2.937	6.12	0.81	
FLANGE-WN-RJBW-300-2in	2in	300#	2.375	3.063	6.5	0.88	
FLANGE-WN-RJBW-300-2.5in	2 1/2in	300#	2.875	3.311	7.5	1	
FLANGE-WN-RJBW-300-3in	3in	300#	3.5	3.437	8.25	1.12	
FLANGE-WN-RJBW-300-3.5in	3 1/2in	300#	4	3.5	9	1.19	
FLANGE-WN-RJBW-300-4in	4in	300#	4.5	3.685	10	1.25	
FLANGE-WN-RJBW-300-5in	5in	300#	5.563	4.185	11	1.38	
FLANGE-WN-RJBW-300-6in	6in	300#	6.625	4.185	12.5	1.44	
FLANGE-WN-RJBW-300-8in	8in	300#	8.625	4.685	15	1.62	
FLANGE-WN-RJBW-300-10in	10in	300#	10.75	4.937	17.5	1.88	
FLANGE-WN-RJBW-300-12in	12in	300#	12.75	5.437	20.5	2	
FLANGE-WN-RJBW-300-14in	14in	300#	14	5.937	23	2.12	
FLANGE-WN-RJBW-300-16in	16in	300#	16	6.063	25.5	2.25	
FLANGE-WN-RJBW-300-18in	18in	300#	18	6.563	28	2.38	
FLANGE-WN-RJBW-300-20in	20in	300#	20	6.75	30.5	2.5	
FLANGE-WN-RJBW-300-24in	24in	300#	24	7.063	36	2.75	
FLANGE-WN-RJBW-400-4in	4in	400#	4.5	3.811	10	1.38	
FLANGE-WN-RJBW-400-5in	5in	400#	5.563	4.311	11	1.5	
FLANGE-WN-RJBW-400-6in	6in	400#	6.625	4.375	12.5	1.62	
FLANGE-WN-RJBW-400-8in	8in	400#	8.625	4.937	15	1.88	
FLANGE-WN-RJBW-400-10in	10in	400#	10.75	5.185	17.5	2.12	
FLANGE-WN-RJBW-400-12in	12in	400#	12.75	5.685	20.5	2.25	
FLANGE-WN-RJBW-400-14in	14in	400#	14	6.185	23	2.38	
FLANGE-WN-RJBW-400-16in	16in	400#	16	6.311	25.5	2.5	
FLANGE-WN-RJBW-400-18in	18in	400#	18	6.811	28	2.62	
FLANGE-WN-RJBW-400-20in	20in	400#	20	7	30.5	2.75	
FLANGE-WN-RJBW-400-24in	24in	400#	24	7.311	36	3	
FLANGE-WN-RJBW-600-0.5in	1/2in	600#	0.84	2.25	3.75	0.56	
FLANGE-WN-RJBW-600-0.75in	3/4in	600#	1.05	2.5	4.62	0.62	
FLANGE-WN-RJBW-600-1in	1in	600#	1.315	2.685	4.88	0.69	
