PartNumber	NominalSize	NominalSize2	OutsideDiameter (in)	OutsideDiameter2 (in)	FaceToFaceLength (in)	WallThickness(in)	WallThickness2(in)
REDCON-WM-BW-14in-8in	14in	8in	14	8.625	13	0.5	0.5
REDCON-WM-BW-16in-10in	16in	10in	16	10.75	16	0.5	0.5
REDCON-WM-BW-16in-12in	16in	12in	16	12.75	16	0.5	0.5
REDCON-WM-BW-16in-14in	16in	14in	16	14	16	0.5	0.5
REDCON-WM-BW-16in-8in	16in	8in	16	8.625	16	0.5	0.5
REDCON-WM-BW-18in-10in	18in	10in	18	10.75	15	0.5	0.5
REDCON-WM-BW-18in-12in	18in	12in	18	12.75	15	0.5	0.5
REDCON-WM-BW-18in-14in	18in	14in	18	14	15	0.5	0.5
REDCON-WM-BW-18in-16in	18in	16in	18	16	15	0.5	0.5
REDCON-WM-BW-20in-12in	20in	12in	20	12.75	20	0.5	0.5
REDCON-WM-BW-20in-14in	20in	14in	20	14	20	0.5	0.5
REDCON-WM-BW-20in-16in	20in	16in	20	16	20	0.5	0.5
REDCON-WM-BW-20in-18in	20in	18in	20	18	20	0.5	0.5
REDCON-WM-BW-22in-14in	22in	14in	22	14	20	0.5	0.5
REDCON-WM-BW-22in-16in	22in	16in	22	16	20	0.5	0.5
REDCON-WM-BW-22in-18in	22in	18in	22	18	20	0.5	0.5
REDCON-WM-BW-22in-20in	22in	20in	22	20	20	0.5	0.5
REDCON-WM-BW-24in-16in	24in	16in	24	16	20	0.5	0.5
REDCON-WM-BW-24in-18in	24in	18in	24	18	20	0.5	0.5
REDCON-WM-BW-24in-20in	24in	20in	24	20	20	0.5	0.5
REDCON-WM-BW-24in-22in	24in	22in	24	22	20	0.5	0.5
REDCON-WM-BW-26in-18in	26in	18in	26	18	24	0.5	0.5
REDCON-WM-BW-26in-20in	26in	20in	26	20	24	0.5	0.5
REDCON-WM-BW-26in-22in	26in	22in	26	22	24	0.5	0.5
REDCON-WM-BW-26in-24in	26in	24in	26	24	24	0.5	0.5
REDCON-WM-BW-28in-18in	28in	18in	28	18	24	0.5	0.5
REDCON-WM-BW-28in-20in	28in	20in	28	20	24	0.5	0.5
REDCON-WM-BW-28in-24in	28in	24in	28	24	24	0.5	0.5
REDCON-WM-BW-28in-26in	28in	26in	28	26	24	0.5	0.5
REDCON-WM-BW-30in-20in	30in	20in	30	20	24	0.5	0.5
REDCON-WM-BW-30in-24in	30in	24in	30	24	24	0.5	0.5
REDCON-WM-BW-30in-26in	30in	26in	30	26	24	0.5	0.5
REDCON-WM-BW-30in-28in	30in	28in	30	28	24	0.5	0.5
REDCON-WM-BW-32in-24in	32in	24in	32	24	24	0.5	0.5
REDCON-WM-BW-32in-26in	32in	26in	32	26	24	0.5	0.5
REDCON-WM-BW-32in-28in	32in	28in	32	28	24	0.5	0.5
REDCON-WM-BW-32in-30in	32in	30in	32	30	24	0.5	0.5
REDCON-WM-BW-34in-24in	34in	24in	34	24	24	0.5	0.5
REDCON-WM-BW-34in-26in	34in	26in	34	26	24	0.5	0.5
REDCON-WM-BW-34in-30in	34in	30in	34	30	24	0.5	0.5
REDCON-WM-BW-34in-32in	34in	32in	34	32	24	0.5	0.5
REDCON-WM-BW-36in-24in	36in	24in	36	24	24	0.5	0.5
REDCON-WM-BW-36in-26in	36in	26in	36	26	24	0.5	0.5
REDCON-WM-BW-36in-30in	36in	30in	36	30	24	0.5	0.5
REDCON-WM-BW-36in-32in	36in	32in	36	32	24	0.5	0.5
REDCON-WM-BW-36in-34in	36in	34in	36	34	24	0.5	0.5
REDCON-WM-BW-42in-24in	42in	24in	42	24	24	0.5	0.5
REDCON-WM-BW-42in-26in	42in	26in	42	26	24	0.5	0.5
REDCON-WM-BW-42in-30in	42in	30in	42	30	24	0.5	0.5
REDCON-WM-BW-42in-32in	42in	32in	42	32	24	0.5	0.5
REDCON-WM-BW-42in-34in	42in	34in	42	34	24	0.5	0.5
REDCON-WM-BW-42in-36in	42in	36in	42	36	24	0.5	0.5
REDCON-WM-BW-48in-40in	48in	40in	48	40	28	0.5	0.5
REDCON-WM-BW-48in-42in	48in	42in	48	42	28	0.5	0.5
REDCON-WM-BW-48in-44in	48in	44in	48	44	28	0.5	0.5
REDCON-WM-BW-48in-46in	48in	46in	48	46	28	0.5	0.5
