PartNumber	NominalSize	Rating	OutsideDiameter (in)	FaceToFaceLength (in)	LeverHeight (in)	LeverLength (in)	EndDiameter (in)	
V-BFLY-LR-WAFER-150-3in	3in	150#	3.5	1.875	8.188	12	7.5	
V-BFLY-LR-WAFER-150-4in	4in	150#	4.5	2.125	8.75	12	9	
V-BFLY-LR-WAFER-150-6in	6in	150#	6.625	2.313	11.625	16	11	
V-BFLY-LR-WAFER-150-8in	8in	150#	8.625	2.625	12.5	16	13.5	
V-BFLY-LR-WAFER-300-3in	3in	300#	3.5	1.875	8.188	12	8.252	
V-BFLY-LR-WAFER-300-4in	4in	300#	4.5	2.125	8.75	12	10	
V-BFLY-LR-WAFER-300-6in	6in	300#	6.625	2.3125	11.625	16	12.5	
V-BFLY-LR-WAFER-300-8in	8in	300#	8.625	2.875	12.5	16	15	
