Piping-Symbol	Iso-Symbol	Iso-Component	Comments
USER-DEFINED	H3	INSTRUMENT-3WAY	NOT SUPPORTED
USER-DEFINED	M3	INSTRUMENT-3WAY	NOT SUPPORTED
USER-DEFINED	S3	INSTRUMENT-3WAY	NOT SUPPORTED
USER-DEFINED	C4	INSTRUMENT-4WAY	NOT SUPPORTED
USER-DEFINED	H4	INSTRUMENT-4WAY	NOT SUPPORTED
USER-DEFINED	M4	INSTRUMENT-4WAY	NOT SUPPORTED
USER-DEFINED	S4	INSTRUMENT-4WAY	NOT SUPPORTED
USER-DEFINED	CA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	HA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	IA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	MA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	RA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	SA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	XA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	C4	INSTRUMENT-DIAL	NOT SUPPORTED
USER-DEFINED	H4	INSTRUMENT-DIAL	NOT SUPPORTED
USER-DEFINED	IDFL	INSTRUMENT-DIAL	NOT SUPPORTED
USER-DEFINED	IDPL	INSTRUMENT-DIAL	NOT SUPPORTED
USER-DEFINED	C4	INSTRUMENT-OFFSET	NOT SUPPORTED
USER-DEFINED	H4	INSTRUMENT-OFFSET	NOT SUPPORTED
USER-DEFINED	IO	INSTRUMENT-OFFSET	NOT SUPPORTED
USER-DEFINED	C4	INSTRUMENT-RETURN	NOT SUPPORTED
USER-DEFINED	H4	INSTRUMENT-RETURN	NOT SUPPORTED
USER-DEFINED	IR	INSTRUMENT-RETURN	NOT SUPPORTED
USER-DEFINED	ITFL	INSTRUMENT-TEE	NOT SUPPORTED
USER-DEFINED	FLSE	LAPJOINT-STUBEND	OK
USER-DEFINED	FLRG	LAPJOINT-RING	OK
USER-DEFINED	CH	MISC-COMPONENT	NOT SUPPORTED
EXPN-BELLOWS	EX	MISC-COMPONENT	OK
USER-DEFINED	FT	MISC-COMPONENT	NOT SUPPORTED
FLEXIBLE-HOSE	FX	MISC-COMPONENT	OK
USER-DEFINED	NC	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	SG	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	TU	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	PL	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	SB	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	SP	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	SR	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	LPIN	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	BA	MISC-COMPONENT-ANGLE	NOT SUPPORTED
USER-DEFINED	BO	MISC-COMPONENT-OFFSET	NOT SUPPORTED
USER-DEFINED	BR	MISC-COMPONENT-RETURN	NOT SUPPORTED
USER-DEFINED	ADMF	MISC-HYGENIC	NOT SUPPORTED
USER-DEFINED	ADMM	MISC-HYGENIC	NOT SUPPORTED
USER-DEFINED	BBC	MISC-HYGENIC	NOT SUPPORTED
USER-DEFINED	BBE	MISC-HYGENIC	NOT SUPPORTED
USER-DEFINED	BM	MISC-HYGENIC	NOT SUPPORTED
USER-DEFINED	BP	MISC-HYGENIC	NOT SUPPORTED
USER-DEFINED	BTP	MISC-HYGENIC	NOT SUPPORTED
USER-DEFINED	DVP	MISC-HYGENIC	NOT SUPPORTED
USER-DEFINED	XV	MULTI-PORT-COMPONENT	NOT SUPPORTED
USER-DEFINED	BNUT	NUT	OK
USER-DEFINED	HCSC	OLET	OK
USER-DEFINED	HCSW	OLET	OK
USER-DEFINED	LABW	OLET	OK
USER-DEFINED	LASW	OLET	OK
USER-DEFINED	NI	OLET	OK
USER-DEFINED	THSC	OLET	OK
B_OLET_WM-BW-DS	WTBW	OLET	OK
B_OLET_WM-BW-SW	SWBW	OLET	OK
B_OLET_WM-BW-XS	SKSW	OLET	OK
PIPE_BENDABLE	PIPE	PIPE	OK
PIPE_STRAIGHT	PIPE	PIPE	OK
USER-DEFINED	PF	PIPE-BLOCK-FIXED	NOT SUPPORTED
USER-DEFINED	PV	PIPE-BLOCK-VARIABLE	NOT SUPPORTED
USER-DEFINED	FPFL	PIPE-FIXED	NOT SUPPORTED
USER-DEFINED	FPLC	PIPE-FIXED	NOT SUPPORTED
USER-DEFINED	FPLN	PIPE-FIXED	NOT SUPPORTED
USER-DEFINED	FPMP	PIPE-FIXED	NOT SUPPORTED
USER-DEFINED	FPPL	PIPE-FIXED	NOT SUPPORTED
USER-DEFINED	FPRG	PIPE-FIXED	NOT SUPPORTED
F_REDCON_WM	RC	REDUCER-CONCENTRIC	OK
USER-DEFINED	CPBW	REDUCER-CONCENTRIC	OK
USER-DEFINED	CPFL	REDUCER-CONCENTRIC	OK
USER-DEFINED	CSBW	REDUCER-CONCENTRIC	OK
USER-DEFINED	CSFL	REDUCER-CONCENTRIC	OK
USER-DEFINED	RBSC	REDUCER-CONCENTRIC	OK
USER-DEFINED	RBSW	REDUCER-CONCENTRIC	OK
USER-DEFINED	RNSC	REDUCER-CONCENTRIC	OK
USER-DEFINED	RFPL	REDUCER-CONCENTRIC	OK
USER-DEFINED	CTBW	REDUCER-CONCENTRIC-TEED	NOT SUPPORTED	
USER-DEFINED	CTFL	REDUCER-CONCENTRIC-TEED	NOT SUPPORTED
USER-DEFINED	CTSC	REDUCER-CONCENTRIC-TEED	NOT SUPPORTED
USER-DEFINED	CTSW	REDUCER-CONCENTRIC-TEED	NOT SUPPORTED
USER-DEFINED	CZBW	REDUCER-CONCENTRIC-TEED	NOT SUPPORTED
USER-DEFINED	CZFL	REDUCER-CONCENTRIC-TEED	NOT SUPPORTED
USER-DEFINED	CXBW	REDUCER-CONCENTRIC-TEED	NOT SUPPORTED
USER-DEFINED	CXFL	REDUCER-CONCENTRIC-TEED	NOT SUPPORTED
F_REDECC_WM	RE	REDUCER-ECCENTRIC	OK
USER-DEFINED	EPWB	REDUCER-ECCENTRIC	OK
USER-DEFINED	EPFL	REDUCER-ECCENTRIC	OK
USER-DEFINED	ESBW	REDUCER-ECCENTRIC	OK
USER-DEFINED	ESFL	REDUCER-ECCENTRIC	OK
USER-DEFINED	EXBW	REDUCER-ECCENTRIC-TEED	NOT SUPPORTED	
USER-DEFINED	EXFL	REDUCER-ECCENTRIC-TEED	NOT SUPPORTED
USER-DEFINED	EZBW	REDUCER-ECCENTRIC-TEED	NOT SUPPORTED
USER-DEFINED	EXFL	REDUCER-ECCENTRIC-TEED	NOT SUPPORTED
USER-DEFINED	OTBW	REDUCER-ECCENTRIC-TEED	NOT SUPPORTED
USER-DEFINED	OTFL	REDUCER-ECCENTRIC-TEED	NOT SUPPORTED
USER-DEFINED	OTSC	REDUCER-ECCENTRIC-TEED	NOT SUPPORTED
USER-DEFINED	RD	SAFETY-DISC	NOT SUPPORTED
F_SLEEVE	01HG	SUPPORT	OK
USER-DEFINED	ANCH	SUPPORT	OK
USER-DEFINED	SKID	SUPPORT	OK
USER-DEFINED	DUCK	SUPPORT	OK
USER-DEFINED	GUID	SUPPORT	OK
USER-DEFINED	SPRG	SUPPORT	OK
Clamp	HANG	SUPPORT	OK
USER-DEFINED	bbbb	SUPPORT	OK
USER-DEFINED	TS	TEE	OK
B_TEE_WM	TE	TEE	OK
B_TEER_WM	TE	TEE	OK
USER-DEFINED	TERF	TEE-SET-ON	OK
TEE-SET-ON	TESO	TEE-SET-ON	OK
USER-DEFINED	TPUL	TEE-SET-ON	OK
USER-DEFINED	TSSO	TEE-SET-ON	OK
USER-DEFINED	TSRF	TEE-SET-ON	OK
USER-DEFINED	TERF	TEE-STUB	OK
USER-DEFINED	TESO	TEE-STUB	OK
USER-DEFINED	TPUL	TEE-STUB	OK
USER-DEFINED	TYSO	TEE-STUB	OK
USER-DEFINED	TSSO	TEE-STUB	OK
USER-DEFINED	TSRF	TEE-STUB	OK
USER-DEFINED	TI	TRAP	NOT SUPPORTED	
USER-DEFINED	TA	TRAP-ANGLE	NOT SUPPORTED
USER-DEFINED	TO	TRAP-OFFSET	NOT SUPPORTED
USER-DEFINED	TR	TRAP-RETURN	NOT SUPPORTED
USER-DEFINED	UNSC	UNION	OK
USER-DEFINED	UNSW	UNION	OK
V_BFLY_LR-LUG_WAFR	VY	VALVE	OK
V_BFLY_LR-WAFER	VY	VALVE	OK	
V_BFLY-LUG_WAFR	VY	VALVE	OK
V_BFLY-WAFER	VY	VALVE	OK
V_BALL_FL-RF	VB	VALVE	OK
V_BALL_FL-RJ	VB	VALVE	OK
V_CHK_FL-RFSWING	VC	VALVE	OK
V_CHK_FL-RJSWING	VC	VALVE	OK
V_CHK_WM-BW-SWING	VC	VALVE	OK
V_CHK_WM-BW-TDISC	VC	VALVE	OK
V_CHK-LUG_WAFER	VC	VALVE	OK
V_CHK-WAFER	VC	VALVE	OK
V_GATE_FL_HW-RF	VT	VALVE	OK
V_GATE_FL_HW-RF-FS	VT	VALVE	OK
V_GATE_FL_HW-RJ	VT	VALVE	OK
V_GATE_FL_HW-RJ-FS	VT	VALVE	OK
V_GATE_WM_HW-BW	VT	VALVE	OK
V_GATE_WM_HW-BW-FS	VT	VALVE	OK
V_GLBE_FL_DM	VG	VALVE	OK
V_GLBE_FL_HW-RF	VG	VALVE	OK
V_GLBE_FL_HW-RFFS	VG	VALVE	OK
V_GLBE_FL_HW-RJ	VG	VALVE	OK
V_GLBE_FL_HW-RJFS	VG	VALVE	OK
V_PLUG_FL-RF	VP	VALVE	OK
V_PLUG_FL-RJ	VP	VALVE	OK
V_PSV_FL_PS-FL-E_ORIF	VX	VALVE	OK
V_PSV_FL_PS-RF-D_ORIF	VX	VALVE	OK
V_PSV_FL_PS-RF-F_ORIF	VX	VALVE	OK
USER-DEFINED	CK	VALVE	OK
USER-DEFINED	KV	VALVE	OK
USER-DEFINED	NV	VALVE	OK
USER-DEFINED	VB	VALVE	OK
USER-DEFINED	VC	VALVE	OK
USER-DEFINED	VD	VALVE	OK
USER-DEFINED	VG	VALVE	OK
USER-DEFINED	VK	VALVE	OK
USER-DEFINED	VN	VALVE	OK
USER-DEFINED	VP	VALVE	OK
USER-DEFINED	VR	VALVE	OK
USER-DEFINED	VS	VALVE	OK
USER-DEFINED	VT	VALVE	OK
USER-DEFINED	VV	VALVE	OK
