PartNumber	NominalSize	Width (in)	Height (in)
RD_BND_PE-WRD180	WRD180	0.368	0.214
RD_BND_PE-WRD110	WRD110	0.551	0.299
RD_BND_PE-WRD750	WRD750	0.791	0.421
RD_BND_PE-WRD700	WRD700	0.786	0.41
RD_BND_PE-WRD650	WRD650	0.82	0.421
RD_BND_PE-WRD580	WRD580	0.88	0.47
RD_BND_PE-WRD500	WRD500	0.852	0.423
RD_BND_PE-WRD475	WRD475	1.19	0.606
RD_BND_PE-WRD350	WRD350	1.608	0.816
RD_BND_PE-WRD250	WRD250	2	1
