FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
TubingBlockValveFunc	3/16in	3in	TubingCheckValve
TubingBlockValveFunc	1in	3in	TubingControlValve
TubingBlockValveFunc	1in	3in	TubingSafetyValve
TubingThrotValveFunc	3/16in	3in	TubingCheckValve
TubingContrlValveFunc	3/16in	3in	TubingControlValve
TubingCheckValveFunc	3/16in	3in	TubingCheckValve
TubingIsolatValveFunc	3/16in	1in	TubingCheckValve
TubingIsolatValveFunc	1 1/4in	3in	TubingControlValve
TubingSafetyValveFunc	1/2in	3in	TubingSafetyValve
