FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
TubingTubeFunc	3/16in	3in	TubingFlexibleTube
TubingTubeFunc	3/16in	3in	TubingBendableTube
TubingTubeFunc	3/16in	3in	TubingStraightTube
TubingTubeFunc	3/16in	1 1/2in	TubingUnion
TubingTubeFunc	2in	3in	TubingCoupling
TubingTubeFunc	1/2in	1 1/2in	TubingHalfCoupling
TubingTubeFunc	1/2in	1 1/2in	TubingNipple
TubingTubeFunc	3/16in	3in	TubingNonReduceElbow
TubingTubeFunc	3/16in	3in	TubingGasket
TubingTubeFunc	3/16in	3in	TubingRing
