CATRouPartNumber	CATRouSize1	CATRouSize2	CATRouOutsideHeight	CATRouOutsideWidth1	CATRouOutsideWidth2	InsideWidth1	LoadingDepth	Radius	TangentLength	RungSpacing	RungHeight	RungLength	RailFlangeWidth	RailFlangeThickness	RailWebThickness
B37AL-18-36-HT12	B37x18"	B37x36"	7.14in	19.5in	37.5in	18in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-18-42-HT12	B37x18"	B37x42"	7.14in	19.5in	43.5in	18in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-24-06-HT12	B37x24"	B37x6"	7.14in	25.5in	7.5in	24in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-24-09-HT12	B37x24"	B37x9"	7.14in	25.5in	10.5in	24in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-24-12-HT12	B37x24"	B37x12"	7.14in	25.5in	13.5in	24in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-24-18-HT12	B37x24"	B37x18"	7.14in	25.5in	19.5in	24in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-24-30-HT12	B37x24"	B37x30"	7.14in	25.5in	31.5in	24in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-24-36-HT12	B37x24"	B37x36"	7.14in	25.5in	37.5in	24in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-24-42-HT12	B37x24"	B37x42"	7.14in	25.5in	43.5in	24in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-30-06-HT12	B37x30"	B37x6"	7.14in	31.5in	7.5in	30in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-30-09-HT12	B37x30"	B37x9"	7.14in	31.5in	10.5in	30in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-30-12-HT12	B37x30"	B37x12"	7.14in	31.5in	13.5in	30in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-30-18-HT12	B37x30"	B37x18"	7.14in	31.5in	19.5in	30in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-30-24-HT12	B37x30"	B37x24"	7.14in	31.5in	25.5in	30in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-30-36-HT12	B37x30"	B37x30"	7.14in	31.5in	37.5in	30in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-30-42-HT12	B37x30"	B37x36"	7.14in	31.5in	43.5in	30in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-36-06-HT12	B37x36"	B37x6"	7.14in	37.5in	7.5in	36in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-36-09-HT12	B37x36"	B37x9"	7.14in	37.5in	10.5in	36in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-36-12-HT12	B37x36"	B37x12"	7.14in	37.5in	13.5in	36in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-36-18-HT12	B37x36"	B37x18"	7.14in	37.5in	19.5in	36in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-36-24-HT12	B37x36"	B37x24"	7.14in	37.5in	25.5in	36in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-36-30-HT12	B37x36"	B37x30"	7.14in	37.5in	31.5in	36in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-36-42-HT12	B37x36"	B37x42"	7.14in	37.5in	43.5in	36in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-42-06-HT12	B37x42"	B37x6"	7.14in	43.5in	7.5in	42in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-42-09-HT12	B37x42"	B37x9"	7.14in	43.5in	10.5in	42in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-42-12-HT12	B37x42"	B37x12"	7.14in	43.5in	13.5in	42in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-42-18-HT12	B37x42"	B37x18"	7.14in	43.5in	19.5in	42in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-42-24-HT12	B37x42"	B37x24"	7.14in	43.5in	25.5in	42in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-42-30-HT12	B37x42"	B37x30"	7.14in	43.5in	31.5in	42in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
B37AL-42-36-HT12	B37x42"	B37x36"	7.14in	43.5in	37.5in	42in	6.05in	12in	3in	9in	1in	1in	2in	0.09in	0.075in
